"#","Registration No / Notification No","Product Name","Holder"
"1","MAL19861075ACRZ","VOLTAREN SUPPOSITORY 12.5MG","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"2","MAL19861076ACRZ","VOLTAREN SUPPOSITORY 25MG","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"3","MAL19870250ACRZ","VOLTAREN SUPPOSITORY 50MG","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"4","MAL19871133ACZ","XYLOPROCT SUPPOSITORY","Aspen Medical Products Malaysia Sdn Bhd"
"5","MAL19930419AZ","DICLOGESIC 12.5MG SUPPOSITORY","ANTAH PHARMA SDN. BHD."
"6","MAL19985559AZ","VOREN SUPPOSITORY 25MG","Y.S.P. INDUSTRIES (M) SDN. BHD."
"7","MAL05051076AZ","Driminate Suppository 50mg","Y.S.P. INDUSTRIES (M) SDN. BHD."
"8","MAL09011474AZ","Liproct Suppository","Y.S.P. INDUSTRIES (M) SDN. BHD."
"9","MAL20091894AEZ","VOREN SUPPOSITORY 100MG","Y.S.P. INDUSTRIES (M) SDN. BHD."
"10","MAL19991441XZ","PORO SUPPOSITORY","Y.S.P. INDUSTRIES (M) SDN. BHD."
"11","MAL20014363XZ","PORO SUPPOSITORY 250MG","Y.S.P. INDUSTRIES (M) SDN. BHD."
"12","MAL20020702X","ANUCARE SUPPOSITORY","Y.S.P. INDUSTRIES (M) SDN. BHD."
"13","MAL06071061AZ","Doproct Suppository","IDAMAN PHARMA SDN. BHD."
"14","MAL22056057XE","Poro Suppository 500mg","Y.S.P. INDUSTRIES (M) SDN. BHD."
"15","MAL22086037XE","Poro Suppository 1000mg","Y.S.P. INDUSTRIES (M) SDN. BHD."
