item_id,TN,INN,Manufacturer_Country,Release_Form,EAN,Registered_Price_RUB,Start_Date_Text
d2b30e074f3bf94f0d6dd78aef6f4499a9c74d99,Calcium gluconate,Calcium gluconate,"Owner OJSC ""DALKHIMFARM"", Russia (2702010564); Graduated.First.Up.Second.Up.Pr.JSC ""DALCHIMPHARM"", Russia;","solution for intravenous and intramuscular administration, 100 mg/ml, 5 ml - ampoules (10) / complete with an ampoule knife or scarifier, if necessary for ampoules of this type / - cardboard boxes",4602824015923,36.43,12.01.2026
3fb7450c6e22ae1065fe5d743a6622a56f2bf883,Calcium gluconate,Calcium gluconate,"JSC ""Dalkhimfarm"" - Russia","solution for intravenous and intramuscular administration 100 mg/ml, 5 ml - ampoules (10) / complete with an ampoule knife or scarifier, if necessary for ampoules of this type / - cardboard packs",4602824015923,34.24,12.01.2026
84fcf6e70580b53da9c28df2f629ac2bef77fd0c,Novocaine,Procaine,"JSC ""Dalkhimfarm"" - Russia","injection solution 2% (in RU - 20 mg/ml), 2 ml - ampoules (10) / complete with an ampoule knife or scarifier, if necessary for ampoules of this type / - cardboard packs",4602824001292,9.53,12.01.2026
6ae24d86d1c4cb4b2e99f5c137d47f9c232c0c52,Ceftriaxone,Ceftriaxone,"CJSC ""Rapharma"" - Russia","powder for preparing a solution for intravenous and intramuscular administration 1 g, bottles - cardboard packs",4660007810314,29.68,12.01.2026
c6fb88ada5aadf637b9c651a9e89eed7cc8006f8,Ceftriaxone,Ceftriaxone,"CJSC ""Rapharma"" - Russia",powder for preparing a solution for intravenous and intramuscular administration 1 g - bottles (25) - cardboard boxes (packaging for hospitals),4660007810338,742.00,12.01.2026
ef9c7fd7b842bc55eca5fa17f10ef2680d3d4c20,Ceftriaxone,Ceftriaxone,"Owner: Closed Joint Stock Company ""Rafarma"" (ZAO ""Rafarma""), Russia; Graduated.First.Up.Second.Up.Pr.Joint Stock Company ""Rafarma"" (JSC ""Rafarma""), Russia;","powder for preparing a solution for intravenous and intramuscular administration, 1 g, 25 pcs. - bottles (1) - cardboard box (for hospitals)",4660007810338,742.00,12.01.2026
d746293df24f50d51fe4b74d99762c3ed2997c12,Ceftriaxone,Ceftriaxone,"Ownership: First.Up.Secondary.Up.Pr.JSC ""Rapharma"", Russia;","powder for preparing a solution for intravenous and intramuscular administration, 0.5 g, - bottles (50) - cardboard boxes (for hospitals)",4660007812189,742.00,12.01.2026
b0d762b86dcde71ae3912b647b09456b3e13cd3d,Ceftriaxone,Ceftriaxone,"Ownership: First.Up.Secondary.Up.Pr.JSC ""Rapharma"", Russia;","powder for preparing a solution for intravenous and intramuscular administration, 1 g, - bottles (50) - cardboard boxes (for hospitals)",4660007812196,1484.00,12.01.2026
2652e1b1a8ce61da2ae50f75a9e400be69d94094,Calcium gluconate,Calcium gluconate,"Vl.Vy.k.Prim.Up.Secondary.Up.Pr.Dalkhimfarm OJSC, Russia (2702010564);","solution for intravenous and intramuscular administration, 100 mg/ml, 5 ml - ampoules (10) - cardboard pack",4602824023713,36.43,12.01.2026
d2b30e074f3bf94f0d6dd78aef6f4499a9c74d99,Calcium gluconate,Calcium gluconate,"Owner OJSC ""DALKHIMFARM"", Russia (2702010564); Graduated.First.Up.Second.Up.Pr.JSC ""DALCHIMPHARM"", Russia;","solution for intravenous and intramuscular administration, 100 mg/ml, 5 ml - ampoules (10) / complete with an ampoule knife or scarifier, if necessary for ampoules of this type / - cardboard boxes",4602824015923,36.43,12.01.2026
