es,en
Cobertura Monto Fijo,Fixed Amount Coverage
Producto Reconocido,Recognized Product
Importado,Imported
Suplemento dietario,Dietary supplement
Antihipertensivo,Antihypertensive
Hipoglucemiante oral,Oral hypoglycemic agent
Antidepresivo,Antidepressant
Antiulceroso,Antiulcer
Hipolipemiante,Lipid-lowering agent
accesorio,accessory
Antianginoso Antihipertensivo,Antianginal Antihypertensive
10 mg comp.x 30,10 mg tablets x 30
comp.x 30,comp.x 30
Corticosteroide,Corticosteroid
ibuprofeno,ibuprofen
metformina,metformin
rosuvastatina,rosuvastatin
Anticonvulsivo,Anticonvulsant
carvedilol,carvedilol
Hipocolesterolemiante,Hypocholesterolemic
pregabalina,pregabalin
comp.x 20,comp.x 20
5 mg comp.x 30,5 mg tablets x 30
amoxicilina,amoxicillin
Accesorios,Accessories
comp.rec.x 30,comp.rec.x 30
omeprazol,omeprazole
10 mg comp.rec.x 30,10 mg comp.rec.x 30
Inmunomodulador,Immunomodulator
clonazepam,clonazepam
Higiene de la piel,Skin hygiene
Inmunosupresor,Immunosuppressant
50 mg comp.x 30,50 mg tablets x 30
comp.x 30 (VL),comp.x 30 (VL)
paracetamol,paracetamol
20 mg comp.x 30,20 mg tablets x 30
enalapril,enalapril
alprazolam,alprazolam
Laxante,Laxative
Anticonceptivo,Contraceptive
comp.x 10,comp.x 10
Antiparkinsoniano,Antiparkinsonian
cefalexina,cephalexin
quetiapina,quetiapine
sildenafil,sildenafil
tadalafilo,tadalafil
amlodipina,amlodipine
Antiacneico,Anti-acne
Protector solar,Sunscreen
20 mg comp.rec.x 30,20 mg comp.rec.x 30
Trat.enf.Alzheimer,Alzheimer's disease treatment
etoricoxib,etoricoxib
vit.+minerales,vitamins + minerals
Lubricante ocular,Eye lubricant
100 mg comp.x 30,100 mg tablets x 30
Antiviral contra HIV,Antiviral against HIV
azitromicina,azithromycin
claritromicina,clarithromycin
fluconazol,fluconazole
protector solar,sunscreen
tramadol,tramadol
carbohidratos+asoc.,carbohydrates+assoc.
Vitaminoterapia d,Vitaminotherapy d
