Registration No,Product Name,Holder
MAL20021165AZ,ATEHEXAL 100,IMEKS PHARMA SDN. BHD.
MAL19985971AZ,GARASENT 80MG INJ (2ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL20021164AZ,ATEHEXAL 50,IMEKS PHARMA SDN. BHD.
MAL19961011ARZ,DECAPEPTYL 0.1MG INJECTION,Ferring Sdn. Bhd.
MAL19973349AZ,KISAN INJECTION 1MG/ML (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL05061485AZ,Condep Injection 50mg/ml (3ml vial),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19992766XZ,INFUSOL W,AIN MEDICARE SDN. BHD.
MAL04010359XZ,Flavettes Vitamin C Orange 250mg Sugar Free,Duopharma Marketing Sdn. Bhd.
MAL19870138AZ,HEPARINOL 1000 IU/mL,AIN MEDICARE SDN. BHD.
MAL17107075ACRZ,MINIRIN Oral Lyophilisate for sublingual 60mcg,Ferring Sdn. Bhd.
MAL08042477AZ,GEMITA for Injection 1G,FRESENIUS KABI MALAYSIA SDN. BHD
MAL06061524XC,GESB Liniment Oil,GAMAT EMAS SDN BHD
MAL19890545AZ,FLUANXOL DEPOT INJ 20MG/ML (1ML),Lundbeck Malaysia Sdn. Bhd.
MAL06100580AZ,N/A,N/A
MAL20013446AZ,FLUROCORT INJECTION 40MG/ML,SM PHARMACEUTICALS SDN. BHD.
MAL05061555XZ,Flavettes Vitamin C Orange 250mg,Duopharma Marketing Sdn. Bhd.
MAL20071712AZ,ASADIN INJECTION 1.0MG/ML,PHARM-D SDN. BHD.
MAL19872182AZ,METRONOL (METRONIDAZOLE 0.5% INJ),AIN MEDICARE SDN. BHD.
MAL19992773AZ,INFUSOL D5,AIN MEDICARE SDN. BHD.
MAL20031731AZ,OLFEN-75 SR/RETARD DEPOTABS,MEPHARM (MALAYSIA) SDN. BHD.
MAL19988492AZ,VOREN PLUS GEL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20020795AZ,,SM PHARMACEUTICALS SDN. BHD.
MAL19991366AZ,FUROXIME INJECTION 750MG,SPG PHARMA (MALAYSIA) SDN BHD
MAL19860041ACZ,N/A,N/A
MAL19970681ARZ,VITALIPID N INFANT,FRESENIUS KABI MALAYSIA SDN. BHD
MAL18116126AZ,Pharmaniaga Flumazenil 0.1mg/mL Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL05023177XZ,YSP Bisacodyl Suppositories 10 mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL10070569ACZ,Flumazenil-hameln 0.1 mg/ml Injection,IMEKS PHARMA SDN. BHD.
