input_company,input_product_name,company,product_name,active_ingredient,therapeutic_class,description,price_ars,date,scraped_at,SIFAR_detail,PAMI_AF,IOMA_detail,IOMA_AF,IOMA_OS,import_status,coverage_json
Laboratorio Millet,102 FOCUS,Laboratorio Millet,102 FOCUS,magnesium+assoc.,Dietary supplement,comp. rec. x 30 (VL),22272.4,2025-12-03,2026-01-02T16:25:21,,,,,,,{}
Laboratorio ENA,100% WHEY PROTEIN,,,,,,,,2026-01-02T16:25:21,,,,,,,{}
Laboratorio Millet,102 MAGNESIO CITRATO,Laboratorio Millet,102 MAGNESIO CITRATO,magnesium citrate,Dietary supplement,comp. x 30 (VL),16120.24,2025-12-03,2026-01-02T16:25:22,,,,,,,{}
ISA,+50,,,,,,,,2026-01-02T16:25:24,,,,,,,{}
Laboratorio Millet,102 MAGNESIO,Laboratorio Millet,102 MAGNESIO,vit.+minerals+assoc.,Dietary supplement,comp. rec. x 30 (VL),15195.58,2025-12-03,2026-01-02T16:25:24,,,,,,,{}
Laboratorio Millet,102 MAGNESIO GUMMIES,Laboratorio Millet,102 MAGNESIO GUMMIES,magnesium+assoc.,Dietary supplement,gummies x 90 (VL),18873.81,2025-12-03,2026-01-02T16:25:37,,,,,,,{}
Laboratorio Millet,102 MUJER,Laboratorio Millet,102 MUJER,vitamins + minerals,Dietary supplement,caps.bl.x 30 (VL),20642.22,2025-12-03,2026-01-02T16:25:47,,,,,,,{}
Laboratorio Millet,102 PLUS,Laboratorio Millet,102 PLUS,vitamins + minerals,Dietary supplement,comp.x 30 (VL),17166.38,2025-12-03,2026-01-02T16:25:57,,,,,,,{}
Laboratorio Millet,102 PLUS,Laboratorio Millet,102 PLUS,vitamins + minerals,Dietary supplement,comp.x 60 (VL),29872.91,2025-12-03,2026-01-02T16:25:57,,,,,,,{}
Laboratorio Millet,102 PLUS,Laboratorio Millet,102 PLUS,vitamins + minerals,Dietary supplement,comp.x 90 (VL),41610.3,2025-12-03,2026-01-02T16:25:57,,,,,,,{}
Laboratorio Millet,102 PLUS EFERVESCENTE,Laboratorio Millet,102 PLUS EFERVESCENTE,vitamins + minerals,Dietary supplement,sob.x 15 (VL),14472.24,2025-12-03,2026-01-02T16:26:07,,,,,,,{}
Laboratorio Millet,102 SPORT BCAA,Laboratorio Millet,102 SPORT BCAA,vitamins + minerals,Dietary supplement,over x 30 (VL),35939.19,2025-12-03,2026-01-02T16:26:17,,,,,,,{}
Laboratorio Millet,102 VITAMINA C,Laboratorio Millet,102 VITAMINA C,vit.+assoc.,Dietary supplement,comp.rec. x 30 (VL),17328.83,2025-11-12,2026-01-02T16:26:26,,,,,,,{}
Laboratorio Millet,102 VITAMINA C,Laboratorio Millet,102 VITAMINA C,vit.+assoc.,Dietary supplement,envelopes x 30 (VL),19442.25,2025-11-12,2026-01-02T16:26:26,,,,,,,{}
GlaxoSmithKline Biopharma,3 TC,GlaxoSmithKline Biopharma,3 TC,lamivudine,Antiviral against HIV,150 mg comp.rec.x 60,219142.56,2025-12-29,2026-01-02T16:26:36,,,,,,Imported,{}
GlaxoSmithKline Biopharma,3 TC,GlaxoSmithKline Biopharma,3 TC,lamivudine,Antiviral against HIV,sol.x 240 ml,95978.22,2025-12-29,2026-01-02T16:26:36,,,,,,Imported,{}
Lepetit,ACIMED,Lepetit,ACIMED,omeprazole,Antiulcer,20 mg caps.x 15 (VL),3750.0,2025-05-30,2026-01-02T16:26:39,Recognized Product,,Fixed Amount Coverage,1308.87,2441.13,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 2441.13, ""AF"": 1308.87}}"
Lepetit,ACIMED,Lepetit,ACIMED,omeprazole,Antiulcer,20 mg caps.x 30 (VL),7500.0,2025-05-30,2026-01-02T16:26:39,Recognized Product,,Fixed Amount Coverage,0.0,8619.34,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 8619.34, ""AF"": 0.0}}"
Lepetit,ACIMED,Lepetit,ACIMED,omeprazole,Antiulcer,40 mg caps.x 15 (VL),19520.0,2025-06-26,2026-01-02T16:26:40,,,Fixed Amount Coverage,6101.0,13419.0,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 13419.0, ""AF"": 6101.0}}"
Lepetit,ACIMED,Lepetit,ACIMED,omeprazole,Antiulcer,40 mg caps.x 30 (VL),35560.0,2025-10-27,2026-01-02T16:26:40,,,Fixed Amount Coverage,9610.93,25949.07,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 25949.07, ""AF"": 9610.93}}"
Elea,3 TC + AZT ELEA,,,,,,,,2026-01-02T16:26:47,,,,,,,{}
GlaxoSmithKline Biopharma,3 TC COMPLEX,GlaxoSmithKline Biopharma,3 TC COMPLEX,lamivudine+zidovudine,Antiviral against HIV,comp.rec.x 60,496962.79,2025-12-29,2026-01-02T16:27:08,,,,,,Imported,{}
ISA,4 x 4,,,,,,,,2026-01-02T16:27:09,,,,,,,{}
IQUISA,420 CBD BEAUTY,IQUISA,420 CBD BEAUTY,cannabidiol,Cosmetic Product,facial cream x 50 ml (VL),23375.0,2024-12-03,2026-01-02T16:27:19,,,,,,,{}
IQUISA,420 CBD RELAX,IQUISA,420 CBD RELAX,cannabidiol,Cosmetic Product,env.x 16 ml (VL),15215.0,2024-12-03,2026-01-02T16:27:27,,,,,,,{}
IQUISA,420 CBD TETITA FELIZ PACK,IQUISA,420 CBD TETITA FELIZ PACK,cannabidiol,Cosmetic Product,cr. 75 g + oil 75 ml (VL),49150.0,2024-12-03,2026-01-02T16:27:37,,,,,,,{}
Medisol,ACIMED,Medisol,ACIMED,omeprazole,Antiulcer,20 mg caps.x 28 (VL),6900.0,2025-06-06,2026-01-02T16:27:40,,,Fixed Amount Coverage,1873.73,5026.27,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 5026.27, ""AF"": 1873.73}}"
Cassará,5 FU,Cassará,5 FU,fluorouracil,Antineoplastic,ung.x 20 g,53000.0,2025-12-15,2026-01-02T16:27:47,,,Fixed Amount Coverage,,,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Domínguez,5-ASA 1000,,,,,,,,2026-01-02T16:27:57,,,,,,,{}
Domínguez,5-ASA 2000,,,,,,,,2026-01-02T16:28:07,,,,,,,{}
Domínguez,5-ASA 400,,,,,,,,2026-01-02T16:28:17,,,,,,,{}
Domínguez,5-ASA 4000,,,,,,,,2026-01-02T16:28:36,,,,,,,{}
Domínguez,5-ASA 500,,,,,,,,2026-01-02T16:28:37,,,,,,,{}
Klonal,AGUA DESTILADA,Klonal,AGUA DESTILADA,soluc.parent/fisiol/glucos/others,Distilled water,a.x 100 x 5 ml,438703.7,2025-10-23,2026-01-02T16:28:40,,,,,,,{}
Domínguez,5-ASA 800,,,,,,,,2026-01-02T16:28:47,,,,,,,{}
Ariston,5XR 1000,Ariston,5XR 1000,mesalazine,Anti-inflammatory intestinal,1000 mg tablets x 30,141152.44,2025-12-03,2026-01-02T16:29:06,,,Fixed Amount Coverage,,,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Ariston,5XR 1000,Ariston,5XR 1000,mesalazine,Anti-inflammatory intestinal,1000 mg tablets x 60,279378.32,2025-12-03,2026-01-02T16:29:06,,,Fixed Amount Coverage,,,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Ariston,5XR 500,Ariston,5XR 500,mesalazine,Anti-inflammatory intestinal,500 mg tablets x 100,238803.69,2025-12-03,2026-01-02T16:29:06,Recognized Product,,Fixed Amount Coverage,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Ariston,5XR 500,Ariston,5XR 500,mesalazine,Anti-inflammatory intestinal,500 mg tablets x 50,130963.27,2025-12-03,2026-01-02T16:29:06,Recognized Product,,Fixed Amount Coverage,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Elea,8 HORAS,Elea,8 HORAS,eszopiclone,Hypnotic,2 mg tablets x 30,22392.79,2025-12-17,2026-01-02T16:29:16,Recognized Product,,,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}}"
Elea,8 HORAS,Elea,8 HORAS,eszopiclone,Hypnotic,3 mg tablets x 30,27989.65,2025-12-17,2026-01-02T16:29:16,Recognized Product,,,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}}"
