input_company,input_product_name,company,product_name,active_ingredient,therapeutic_class,description,price_ars,date,scraped_at,SIFAR_detail,PAMI_AF,IOMA_detail,IOMA_AF,IOMA_OS,import_status,coverage_json
Lepetit,ACIMED,Lepetit,ACIMED,omeprazol,Antiulceroso,20 mg cáps.x 15 (VL),3750.0,2025-05-30,2026-01-07T17:23:48,Producto Reconocido,,Cobertura Monto Fijo,1308.87,2441.13,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 2441.13, ""AF"": 1308.87}}"
Lepetit,ACIMED,Lepetit,ACIMED,omeprazol,Antiulceroso,20 mg cáps.x 30 (VL),7500.0,2025-05-30,2026-01-07T17:23:48,Producto Reconocido,,Cobertura Monto Fijo,0.0,8619.34,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 8619.34, ""AF"": 0.0}}"
Lepetit,ACIMED,Lepetit,ACIMED,omeprazol,Antiulceroso,40 mg cáps.x 15 (VL),19520.0,2025-06-26,2026-01-07T17:23:48,,,Cobertura Monto Fijo,6101.0,13419.0,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 13419.0, ""AF"": 6101.0}}"
Lepetit,ACIMED,Lepetit,ACIMED,omeprazol,Antiulceroso,40 mg cáps.x 30 (VL),35560.0,2025-10-27,2026-01-07T17:23:48,,,Cobertura Monto Fijo,9610.93,25949.07,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 25949.07, ""AF"": 9610.93}}"
Medisol,ACIMED,Medisol,ACIMED,omeprazol,Antiulceroso,20 mg cáps.x 28 (VL),6900.0,2025-06-06,2026-01-07T17:23:56,,,Cobertura Monto Fijo,1873.73,5026.27,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 5026.27, ""AF"": 1873.73}}"
Klonal,AGUA DESTILADA,Klonal,AGUA DESTILADA,soluc.parent/fisiol/glucos/otras,Agua destilada,a.x 100 x 5 ml,438703.7,2025-10-23,2026-01-07T17:24:07,,,,,,,{}
Veinfar,AGUA DESTILADA,Veinfar,AGUA DESTILADA,soluc.parent/fisiol/glucos/otras,Agua destilada,a.x 100 x 5 ml,268210.0,2025-08-11,2026-01-07T17:24:17,,,,,,,{}
Austral,AMOXITRAL,Austral,AMOXITRAL,amoxicilina,Antibiótico,1 g comp.x 16,24060.0,2026-01-07,2026-01-07T17:24:26,,,Cobertura Monto Fijo,16614.79,7445.21,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 7445.21, ""AF"": 16614.79}}"
Austral,AMOXITRAL,Austral,AMOXITRAL,amoxicilina,Antibiótico,500 mg comp.x 21,10020.0,2026-01-07,2026-01-07T17:24:27,,,Cobertura Monto Fijo,2574.79,7445.21,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 7445.21, ""AF"": 2574.79}}"
Lepetit,AMOXITRAL,Lepetit,AMOXITRAL,amoxicilina,Antibiótico,500 mg susp.x 90 ml,9400.0,2026-01-07,2026-01-07T17:24:37,,,Cobertura Monto Fijo,5731.05,3668.95,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo"", ""OS"": 3668.95, ""AF"": 5731.05}}"
