Registration No,Product Name,Holder
MAL09062132X,Appeton Essentials Antioxidant,KOTRA PHARMA (M) SDN. BHD.
MAL18116116NC,JANIPRO Neuroquin Capsule,Janipro (M) Sdn Bhd
MAL19930564AZ,U-KEFEN TABLETS 1MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL06061696AZ,Ciprocep Tablet 500mg,IMEKS PHARMA SDN. BHD.
MAL19861587AZ,FENAMON TABLET 10MG,KOMEDIC SDN BHD
MAL15045129AZ,Nexpro Tablets 40mg,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL19992139AZ,XANAPAM TABLETS 1MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL20076021AZ,Vytocor 10mg/40mg Tablet,Duopharma Marketing Sdn. Bhd.
MAL06051410XZ,Flavettes Vitamin C Orange 500mg,Duopharma Marketing Sdn. Bhd.
MAL19861364AZ,Royce Haloperidol Tablet 1.5mg,ROYCE PHARMA MANUFACTURING SDN. BHD.
