value,count,example_columns
Antibi?tico,969,therapeutic_class
producto cosm?tico,931,active_ingredient
Antineopl?sico,885,therapeutic_class
Dermatocosm?ticos,677,therapeutic_class
Analg?sico Antiinflam.,608,therapeutic_class
Antipsic?tico,315,therapeutic_class
Antiepil?ptico,298,therapeutic_class
Ansiol?tico,242,therapeutic_class
Alimentos prop?s.m?dico espec?f.,223,therapeutic_class
Analg?sico,216,therapeutic_class
Antimic?tico,183,therapeutic_class
Analg?sico Antifebril,166,therapeutic_class
prote?nas+grasas+carbohid.+asoc.,162,active_ingredient
Productos odontol?gicos,161,therapeutic_class
Antian?mico,160,therapeutic_class
Antihipertensivo Diur?tico,155,therapeutic_class
Antitromb?tico,150,therapeutic_class
c?ps.x 30 (VL),148,description
Antihistam?nico,128,therapeutic_class
Ansiol?tico Anticonvulsivo,124,therapeutic_class
El precio publicado no incluye grav?menes u otros,124,import_status
diclofenac s?dico,120,active_ingredient
Trat.disfunci?n sexual masc.,117,therapeutic_class
Citost?tico,116,therapeutic_class
col?geno+asoc.,114,active_ingredient
atorvastat?n,112,active_ingredient
losart?n,88,active_ingredient
Antiespasm?dico,86,therapeutic_class
Trat.de la disfunci?n er?ctil,86,therapeutic_class
Hidratante Nutriente d?rmico,84,therapeutic_class
Antiasm?tico,83,therapeutic_class
Producto Cosm?tico,83,therapeutic_class
Anest?sico local,81,therapeutic_class
Antiinflam.Analg?sico.Miorrelajante,79,therapeutic_class
Reconstituyente d?rmico,77,therapeutic_class
amino?cidos+asoc.,76,active_ingredient
Antibi?tico Antiinfl.,74,therapeutic_class
Vitam?nico,73,therapeutic_class
c?ps.x 60 (VL),71,description
valsart?n,70,active_ingredient
Diur?tico,67,therapeutic_class
Antiem?tico,66,therapeutic_class
Antiartr?sico,64,therapeutic_class
Antimic?tico t?pico,64,therapeutic_class
"amoxicilina+clavul?nico,?c.",62,active_ingredient
Cosm?tico Capilar,62,therapeutic_class
valsart?n+hidroclorotiazida,62,active_ingredient
prote?nas+asoc.,59,active_ingredient
Anti?cido,55,therapeutic_class
Antiprost?tico,54,therapeutic_class
Neurol?ptico,52,therapeutic_class
Antihemof?lico,51,therapeutic_class
Productos para contactolog?a,51,therapeutic_class
rivaroxab?n,51,active_ingredient
c?ps.x 30,49,description
diclofenac pot?sico+paracetamol,49,active_ingredient
F?rmula infantil,49,therapeutic_class
"hialur?nico,?c.+asoc.",49,active_ingredient
Mucol?tico,49,therapeutic_class
Trat.hipertensi?n arterial pulmonar,49,therapeutic_class
Protector d?rmico,47,therapeutic_class
"f?lico,?c.",46,active_ingredient
Contraste radiol?gico,45,therapeutic_class
Inhibidor resorc.osteocl?stica,45,therapeutic_class
prop?leo+asoc.,45,active_ingredient
amino?cidos+carbohidratos+asoc.,44,active_ingredient
Antibi?tico oft?lmico,44,therapeutic_class
c?ps. x 30 (VL),44,description
Expectorante Mucol?tico,44,therapeutic_class
Hipn?tico,44,therapeutic_class
Antial?rgico Antiinflamatorio,43,therapeutic_class
Antiosteopor?tico,42,therapeutic_class
Polivitam?nico Polimineral,42,therapeutic_class
carboximetilcelulosa s?d.+asoc.,41,active_ingredient
lidoca?na,41,active_ingredient
producto m?dico,41,active_ingredient
Quimioter?pico,41,therapeutic_class
Antiandr?geno,40,therapeutic_class
Inmunizaci?n pasiva,40,therapeutic_class
Adhesivo p/pr?tesis dentales,39,therapeutic_class
diclofenac pot?sico,39,active_ingredient
Nutrici?n enteral,39,therapeutic_class
Antiinflam.t?pico,38,therapeutic_class
Antilitog?nico Litol?tico,38,therapeutic_class
Antis?ptico,38,therapeutic_class
losart?n+hidroclorotiazida,38,active_ingredient
Nutriente d?rmico,38,therapeutic_class
Terap?utica tiroidea,38,therapeutic_class
"ursodesoxic?lico,?c.",38,active_ingredient
Hidratante d?rmico,37,therapeutic_class
acetilciste?na,35,active_ingredient
Antimigra?oso,35,therapeutic_class
Corticosteroide t?pico,35,therapeutic_class
Gastrocin?tico,35,therapeutic_class
valsart?n+amlodipina,35,active_ingredient
vit.a+alanto?na+asoc.,35,active_ingredient
Analg?sico Antirreum?tico,34,therapeutic_class
Analg?sico Descongestivo,34,therapeutic_class
enoxaparina s?dica,34,active_ingredient
Inhib.de la prote?na quinasa,34,therapeutic_class
amino?cidos,33,active_ingredient
Antial?rgico Antihistam?nico,33,therapeutic_class
Antitromb?tico Vasodilatador,33,therapeutic_class
Calciter?pico,33,therapeutic_class
"hialur?nico,?c.",33,active_ingredient
valsart?n+hidrocloroti.+amlodip.,33,active_ingredient
Antial?rgico,32,therapeutic_class
"l?ctico,?c.+asoc.",32,active_ingredient
prote?nas,32,active_ingredient
Analg?sico Antiespasm?dico,30,therapeutic_class
Antibi?tico Antiinfl.Antimicot.,30,therapeutic_class
Simpaticomim?tico,30,therapeutic_class
Antialop?cico,29,therapeutic_class
Antibi?tico Anest?sico bucof.,29,therapeutic_class
Antibi?tico t?pico,29,therapeutic_class
Hemost?tico,29,therapeutic_class
Nutrici?n parenteral,29,therapeutic_class
Queratol?tico,29,therapeutic_class
Antiespasm?dico vesical,28,therapeutic_class
atorvastat?n+ezetimibe,28,active_ingredient
Polivitam?nico,28,therapeutic_class
Anticariog?nico,27,therapeutic_class
Antineopl?sico. Inhibidor de la prote?naquinasa,27,therapeutic_class
c?ps.x 60,27,description
"glic?lico,?c.+asoc.",27,active_ingredient
"ibandr?nico,?c.",27,active_ingredient
Trat.d?ficit atenc/hiperac(ADHD),27,therapeutic_class
"amlodipina+losart?n,pot?sico",26,active_ingredient
Dermatol?gico,26,therapeutic_class
telmisart?n,26,active_ingredient
centella asi?tica+asoc.,25,active_ingredient
"salic?lico,?c.+asoc.",25,active_ingredient
F?rmula p/prop?sito m?dico,24,therapeutic_class
Flebot?nico Antihemorroidal,24,therapeutic_class
Hipnoanalg?sico,24,therapeutic_class
Hormonoterapia antineopl?sica,24,therapeutic_class
Antihemorr?gico,23,therapeutic_class
f?rm.etapa 3,23,active_ingredient
s?rum x 30 ml (VL),23,description
Trat.de la fibrosis ideop?tica,23,therapeutic_class
Antiarr?tmico,22,therapeutic_class
Antidiab?tico,22,therapeutic_class
Antimic?tico Antibacteriano,22,therapeutic_class
f?rm.etapa 1,22,active_ingredient
F?rmula de continuaci?n,22,therapeutic_class
F?rmula de inicio,22,therapeutic_class
prote?nas+vitaminas+minerales,22,active_ingredient
150 mg c?ps.x 30,21,description
20 mg c?ps.x 28 (VL),21,description
40 mg c?ps.x 28 (VL),21,description
Analg?sico Antiinfl.Antifebril,21,therapeutic_class
Analg?sico Antineur?tico,21,therapeutic_class
Antial?rgico ocular,21,therapeutic_class
Antiinflam.Antirreum?tico,21,therapeutic_class
f?rm.etapa 2,21,active_ingredient
hialuronato s?dico,21,active_ingredient
Terap?utica prost?tica,21,therapeutic_class
"ti?ctico,?c.",21,active_ingredient
20 mg c?ps.x 14 (VL),20,description
"acetilsalic?lico,?c.",20,active_ingredient
bl?ster comp.x 30 (VL),20,description
diclofenac s?dico+paracetamol,20,active_ingredient
ondansetr?n,20,active_ingredient
tirotricina+benzoca?na,20,active_ingredient
"zoledr?nico,?c.",20,active_ingredient
75 mg c?ps.x 30,19,description
Descongestivo oft?lmico,19,therapeutic_class
Progest?geno,19,therapeutic_class
Trat.t?pico de la ros?cea,19,therapeutic_class
Antiinflam.Antineur?tico,18,therapeutic_class
Antis?ptico bucofar?ngeo,18,therapeutic_class
"hierro+f?lico,?c.",18,active_ingredient
Somatotr?pico,18,therapeutic_class
Venot?nico,18,therapeutic_class
20 mg c?ps.x 30 (VL),17,description
Analg?sico Miorrelaj.,17,therapeutic_class
Analg?sico t?pico Antiinfl.,17,therapeutic_class
Coadyuvante en oncolog?a,17,therapeutic_class
Moduladores para Fibrosis Qu?stica,17,therapeutic_class
Soluci?n p/di?lisis peritoneal,17,therapeutic_class
telmisart?n+hidroclorotiazida,17,active_ingredient
50 mg c?ps.x 30,16,description
alcohol et?lico,16,active_ingredient
Antirreum?tico,16,therapeutic_class
F?rmula hipoalerg?nica+trat.APLV,16,therapeutic_class
factor VIII coagulaci?n recomb.,16,active_ingredient
heparina s?dica,16,active_ingredient
prote?nas de suero de leche,16,active_ingredient
sacubitrilo+valsart?n,16,active_ingredient
"salic?lico,?c.",16,active_ingredient
"salic?lico,?c.+glic?lico,?c.",16,active_ingredient
300 mg c?ps.x 30,15,description
Antidisp?ptico Antiem?tico Antinauseoso,15,therapeutic_class
Antipsori?sico,15,therapeutic_class
Antis?ptico Anest?sico,15,therapeutic_class
"ar?ndano,ext.+asoc.",15,active_ingredient
bl?ster comp.x 60 (VL),15,description
carb?n activado,15,active_ingredient
Cardiot?nico,15,therapeutic_class
col?geno+vit.e+asoc.,15,active_ingredient
"condroit?n,sulfato+glucosamina",15,active_ingredient
"fenof?brico,?c.",15,active_ingredient
lidoca?na+adrenalina,15,active_ingredient
Regulador sue?o-vigilia,15,therapeutic_class
100 mg c?ps.x 21,14,description
150 mg c?ps.x 28,14,description
aceite de ch?a,14,active_ingredient
"adapaleno+benzo?lo,per?xido",14,active_ingredient
Antialdoster?nico,14,therapeutic_class
Antibi?tico Expectorante,14,therapeutic_class
Antiesp?stico,14,therapeutic_class
Antiespasm?dico Antiflatulento,14,therapeutic_class
candesart?n cilexetil,14,active_ingredient
Energizante psicof?sico,14,therapeutic_class
ergotamina+cafe?na+asoc.,14,active_ingredient
Hipn?tico no benzodiazepinico,14,therapeutic_class
Reposici?n de potasio,14,therapeutic_class
vaselina l?quida,14,active_ingredient
10 mg c?ps.x 21,13,description
125 mg c?ps.x 21,13,description
20 mg c?ps.x 30,13,description
25 mg c?ps.x 21,13,description
5 mg c?ps.x 21,13,description
Analg?sico opioide,13,therapeutic_class
ant?genos virus influenza,13,active_ingredient
Antis?ptico Bactericida,13,therapeutic_class
Antis?ptico Desinfectante,13,therapeutic_class
bl?st.x 15 x 10 c?ps.c/u (VL),13,description
c?ps.x 32 (VL),13,description
col?geno tipo II+asoc.,13,active_ingredient
Colagogo Coler?tico,13,therapeutic_class
Corticosteroide oft?lmico,13,therapeutic_class
F?rmula para prematuros,13,therapeutic_class
fibras+prote?nas+asoc.,13,active_ingredient
imipenem+cilastat?n,13,active_ingredient
"tranex?mico,?c.",13,active_ingredient
Trat.de la esclerosis m?ltiple,13,therapeutic_class
15 mg c?ps.x 21,12,description
75 mg c?ps.x 21,12,description
?v.x 6,12,description
Antimic?tico uso sist?mico,12,therapeutic_class
Antis?ptico Cicatrizante,12,therapeutic_class
"benzo?lo,per?xido",12,active_ingredient
bupivaca?na,12,active_ingredient
f?rm.para prematuros,12,active_ingredient
F?rmaco antiobesidad no sist?m.,12,therapeutic_class
"glic?lico,?c.",12,active_ingredient
gts.?ticas x 5 ml,12,description
Nutrici?n p/pacientes diab?ticos,12,therapeutic_class
25 mg c?ps.x 30,11,description
Ansiol?tico Antiespasm.,11,therapeutic_class
Antibi?tico Antineopl?sico,11,therapeutic_class
Antibi?tico Mucol?tico,11,therapeutic_class
Anticolin?rgico,11,therapeutic_class
Antiinflam.oft?lmico,11,therapeutic_class
c?ps.x 10,11,description
carboximetilcelulosa s?dica,11,active_ingredient
dabigatr?n,11,active_ingredient
fenito?na,11,active_ingredient
"hierro+vit.b12+f?lico,?c.",11,active_ingredient
ibuprofeno+cafe?na,11,active_ingredient
Ocit?cico,11,therapeutic_class
prote?nas+grasas+carbohid.,11,active_ingredient
tretino?na,11,active_ingredient
10 mg c?ps.x 30,10,description
25 mg c?ps.x 28,10,description
50 mg c?ps.x 28,10,description
Anti?cido Antiulceroso,10,therapeutic_class
Antibi?tico Corticosteroide,10,therapeutic_class
Antitusivo Mucol?tico,10,therapeutic_class
"ar?ndano,ext.",10,active_ingredient
c?ps.bl.x 30 (VL),10,description
c?ps.blandas x 30,10,description
"carbohidratos,amino?cidos+asoc.",10,active_ingredient
col?geno,10,active_ingredient
copol?mero vin?lico,10,active_ingredient
m?scara facial anat?mica o bucal,10,active_ingredient
prote?nas de suero,10,active_ingredient
Regenerador del Cart?lago,10,therapeutic_class
Soluciones fisiol?gicas,10,therapeutic_class
tirotricina+benzoca?na+asoc.,10,active_ingredient
Trat.de la hepatitis C cr?nica,10,therapeutic_class
Trat.polineuritis diab?tica,10,therapeutic_class
0.4 mg c?ps.x 30,9,description
100 mg c?ps.x 30,9,description
100 mg c?ps.x 5,9,description
140 mg c?ps.x 90,9,description
200 mg c?ps.x 30,9,description
75 mg c?ps.x 28,9,description
"acetilsalic?lico,?c.+cafe?na",9,active_ingredient
alcohol et?lico+asoc.,9,active_ingredient
Analg?sico Antis?p.bucofar.,9,therapeutic_class
Anest?sico inhalatorio,9,therapeutic_class
Anti?cido Antiflatulento,9,therapeutic_class
Antibi?tico Antimic?tico,9,therapeutic_class
Antidiur?tico,9,therapeutic_class
Antiem?tico Antinauseoso,9,therapeutic_class
Antihistam?nico Antileucotrieno,9,therapeutic_class
Antitab?quico,9,therapeutic_class
c?ps. x 60 (VL),9,description
c?ps.x 20 (VL),9,description
col?g.hidr.+magnesio+?c.hialur.+asoc.,9,active_ingredient
"colistimetato,s?dico",9,active_ingredient
copol?m.metilvinil eter maleico,9,active_ingredient
"dehidroc?lico,?c.+asoc.",9,active_ingredient
Flebot?nico,9,therapeutic_class
hidrolizado de col?geno+asoc.,9,active_ingredient
Inhibid.absorci?n de colesterol,9,therapeutic_class
"linoleico,?c.conjugado",9,active_ingredient
mirabegr?n,9,active_ingredient
penicilina g benzat?nica,9,active_ingredient
"retinoico,?c.",9,active_ingredient
sumatript?n,9,active_ingredient
telmisart?n+amlodipina,9,active_ingredient
"zinc,?xido+asoc.",9,active_ingredient
140 mg c?ps.x 120,8,description
150 mg c?ps.x 120,8,description
