Country,Currency,Source,Region,Company,Product Group,Local Product Name,Generic Name,Local Pack Description,Pack Unit,Pack Size,LOCAL_PACK_CODE,Unit Price,PCID Mapping,VAT Percent,Public without VAT Price,Public with VAT Price,Reimbursable Status,Reimbursable Rate,Copayment Percent
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Mylan bv,GENERIEK,,Efudix,5 ml INJECTIEVLOEISTOF 50 mg / ml,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,6.46,,0.09,5.9266055045871555,6.46,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Mylan bv,TOLAK,,Efudix,CREME 40 mg /G,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,27.12,,0.09,24.880733944954127,27.12,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Mylan bv,EFUDIX,,Efudix,CREME 50 mg /G,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__cutaan_,17.23,,0.09,15.807339449541283,17.23,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Fluorouracil,5 ml INJECTIEVLOEISTOF 50 mg / ml,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,6.46,,0.09,5.9266055045871555,6.46,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,TOLAK,,Fluorouracil,CREME 40 mg /G,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,27.12,,0.09,24.880733944954127,27.12,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,EFUDIX,,Fluorouracil,CREME 50 mg /G,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/5/5_fluoro_uracil__systemisch_,17.23,,0.09,15.807339449541283,17.23,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Weleda,Hepatodoron,,Hepatodoron,,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/aardbeiblad_wijnstokblad,,,0.09,,,NON REIMBURSABLE,0.00%,100.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Abacavir/lamivudine,TABLET 600/300 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine,2.09,,0.09,1.9174311926605503,2.09,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,KIVEXA,,Abacavir/lamivudine,TABLET 600/300 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine,9.39,,0.09,8.614678899082568,9.39,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,ZIAGEN,,Abacavir,DRANK 20 mg / ml,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir,11.28,,0.09,10.348623853211008,11.28,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Diverse fabrikanten,GENERIEK,,Abacavir,TABLET 300 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir,7.73,,0.09,7.091743119266055,7.73,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,ViiV Healthcare bv.,TRIZIVIR,,Trizivir,TABLET 300/150/300 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abacavir_lamivudine_zidovudine,14.91,,0.09,13.678899082568806,14.91,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Bristol-Myers Squibb,ORENCIA,,Orencia,1 ml INJECTIEVLOEISTOF 125 mg / ml,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abatacept,262.79,,0.09,241.09174311926606,262.79,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Theramex Ireland Limited,ELADYNOS,,Eladynos,"1,5 ml INJECTIEVLOEISTOF 2 mg / ml",,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abaloparatide,272.11,,0.09,249.6422018348624,272.11,REIMBURSABLE,100.00%,0.00%
Netherlands,EUR,Farmacotherapeutisch Kompas,EUROPE,Lilly Nederland bv,VERZENIOS,,Verzenios,TABLET 100 mg,,,https://www.farmacotherapeutischkompas.nl/bladeren/preparaatteksten/a/abemaciclib,111.06,,0.09,101.88990825688073,111.06,REIMBURSABLE,100.00%,0.00%
