Local Product Name,Local Pack Code,Generic Name,WHO ATC Code,Formulation,Strength Size,Fill Size,Customized 1,Marketing Authority / Company Name,Effective Start Date,Effective End Date,Public with VAT Price,Pharmacy Purchase Price,Local Pack Description,Reimbursable Status,Reimbursable Rate,Reimbursable Notes,Copayment Value,Copayment Percent,Margin Rule,VAT Percent,detail_url
ABAKTAL,3838957037360,pefloxacin,J01MA03,раствор за инјектирање,400 mg/5 ml,10 ampoules x 5 ml/box,5 ml solution contains: pefloxacin mesylate...515.26 mg (equivalent to 400 mg pefloxacin),"LEK farmacevtska druzba d.d., Љубљана, Словенија",27.10.2014,,1029.51,784.39,"раствор за инјектирање 10 ампули х 5 ml/кутија 400 mg/5 ml 5 ml раствор содржи: пефлоксацин мезилат . . . 515,26 mg (еквивалентен на 400 mg пефлоксацин)",PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/50858?t:ac=overview
ABAKTAL,5944706001952,pefloxacin,J01MA03,филм-обложена таблета,400 mg,10 film-coated tablets (blister 1 x 10)/box,1 филм-обложена таблета содржи: пефлоксацин (во форма на мезилат дихидрат) . . . 400 mg,"LEK Pharmaceuticals d.d.-, Љубљана, Словенија, LEK Pharmaceuticals d.d., Лендава, Словенија, S.C.Sandoz SRL, Таргу Муреш, Романија",27.10.2014,,204.75,172.5,film-coated tablet 10 film-coated tablets (blister 1 x 10)/box 400 mg 1 film-coated tablet contains: pefloxacin (in the form of mesylate dihydrate)...400 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/50857?t:ac=overview
"0,9% ISOTONIC SODIUM CHLORIDE",8699788680218,sodium chloride,B05XA03,solution for infusion,"0,9 g/100 ml",1 PVC bag x 3000 ml/ polyethylene outer bag,"100 ml раствор содржи: натриум хлорид. . . 0,9 g","Osel Ilac San Ve Tic A.S., Бејкоз/Истанбул, Турција",03.10.2024,08.07.2029,0,0,solution for infusion 1 PVC bag x 3000 ml/ polyethylene outer bag 0.9 g/100 ml 100 ml solution contains: sodium chloride...0.9 g,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3727632618?t:ac=overview
ABASAGLAR,5319991431621,insulin glargine,A10AE04,solution for injection,100 E/ml,10 cartridges x 3 ml/box,1 ml of solution contains: insulin glargine...100 E (equivalent to 3.64 mg),"Lilly France S.A., Fegersheim, France, ELI LILLY Italy S.p.A., Sesto Fiorentino, Italy",10.02.2021,,4564.12,3622.32,injection solution 10 cartridges x 3 ml/box 100 U/ml 1 ml solution contains: insulin glargine...100 E (equivalent to 3.64 mg),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2172528031?t:ac=overview
ABASAGLAR,5319991431638,insulin glargine,A10AE04,solution for injection,100 E/ml,10 (2 x 5) pre-filled pens x 3 ml/box,1 ml of solution contains: insulin glargine...100 E (equivalent to 3.64 mg),"Lilly France S.A., Fegersheim, France",08.04.2021,,4564.12,3622.32,injection solution 10 (2 x 5) filled injection pens x 3 ml/box 100 U/ml 1 ml solution contains: insulin glargine...100 E (equivalent to 3.64 mg),PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2495885072?t:ac=overview
ABELCET LIPID COMPLEX,3850114234047,amphotericin B,J02AA01,concentrate for dispersion for infusion,5 mg/ml,1 glass vial x 20 ml + disposable filtration needle/box,1 ml of concentrate for suspension for infusion contains: amphotericin B...5 mg,"TEVA Pharmaceuticals Europe B.V., Haarlem, The Netherlands, AndersonBrecon (UK) Limited, Hereford, Great Britain, Merckle GmbH, Ulm, Germany, Millmount Healthcare Limited, STAMULEN, Ireland",28.05.2021,,7566.6,0,концентрат за дисперзија на инфузија 1 стаклена вијала х 20 ml + игла за еднократна употреба за филтрација/кутија 5 mg/ml 1 ml концентрат за суспензија за инфузија содржи: амфотерицин Б. . . 5 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2199564528?t:ac=overview
ABETYL,8699514011606,abiraterone,L02BX03,tablet,250 mg,120 таблети (блистер 20 х 6)/кутија,1 tablet contains: abiraterone acetate...250 mg,"ABDI IBRAHIM ILAC San. ve Tic. A.S., Истанбул, Турција",09.07.2024,05.06.2029,116004,109280,tablet 120 tablets (blister 20 x 6)/box 250 mg 1 tablet contains: abiraterone acetate...250 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3526839000?t:ac=overview
ABIRATERON CORAPHARM,8606107639321,abiraterone,L02BX03,film-coated tablet,250 mg,120 таблети во HDPE шише/кутија,1 film-coated tablet contains: abiraterone acetate...250 mg,"Synthon BV , Нијмеген, Холандија, Synthon Hispania S.L., Сент Бои де Лиобрегат, Шпанија",05.12.2023,02.11.2028,116004,109280,film-coated tablet 120 tablets in HDPE bottle/box 250 mg 1 film-coated tablet contains: abiraterone acetate...250 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3366650526?t:ac=overview
ABIRATERON CORAPHARM,8606107639338,abiraterone,L02BX03,film-coated tablet,500 mg,60 филм-обложени таблети (блистер 6 х 10)/кутија,1 film-coated tablet contains: abiraterone acetate...500 mg,"Synthon BV , Nijmegen, The Netherlands, Synthon Hispania S.L., Saint Bois de Liobregat, Spain",05.12.2023,02.11.2028,116004,109280,film-coated tablet 60 film-coated tablets (blister 6 x 10)/box 500 mg 1 film-coated tablet contains: abiraterone acetate...500 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3366650527?t:ac=overview
ABIRATERONE PHARMASCIENCE,5298000961628,abiraterone,L02BX03,film-coated tablet,500 mg,60 film-coated tablets (blister 5 x 12)/box,1 film-coated tablet contains: abiraterone acetate...500 mg,"Bluepharma-Industria Farmaceutica S.A (S.Martinho do Bispo Coimbra, 3045-016), Коимбра, Португалија, Bluepharma-Industria Farmaceutica S.A. (Eiras, Rua Adriano Lucas, 3020-430), Коимбра, Португалија",29.12.2022,30.11.2027,116004,109280,film-coated tablet 60 film-coated tablets (blister 5 x 12)/box 500 mg 1 film-coated tablet contains: abiraterone acetate...500 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3964916630?t:ac=overview
AMIODARON,5310090001050,amiodarone,C01BD01,tablet,200 mg,60 tablets (blister 6 x 10)/box,1 tablet contains: amiodarone hydrochloride...200 mg,"РЕПЛЕК ФАРМ ДООЕЛ СКОПЈЕ, Скопје, Р. Северна Македонија",28.11.2019,,291.22,216.68,tablet 60 tablets (blister 6 x 10)/box 200 mg 1 tablet contains: amiodarone hydrochloride...200 mg,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51060?t:ac=overview
