WHO ATC Code,PCID
C09CA03,2186972
J02AC01,2160572
C04AE02,2169278
B01AF01,2160913
A10BA02,2160552
N07AX02,2209189
C08CA01,1322113
N01AB08,2160613
M01AE17,2160659
C09CA01,2037445
C08CA01,1322211
C10AA05,2037333
C01EB22,2160116
M01AC06,2161521
C07AB07,2160519
C08CA01,2169259
C01DX12,2038727
R01AA07,2160438
B03AB05,2160631
M01AE17,2161502
C09AA03,2037561
N05CF01,2160616
C04AE02,1322260
C09AA03,2037469
N06BX22,2160653
J02AC01,2160577
C08CA01,2037330
C07AB07,2037384
C03DA01,2160683
C07AB07,2037380
C01EB22,2160725
M01AC06,2160705
C09AA03,DUPLICATE
M01AE17,2161506
B01AF01,2160501
B01AF01,2160485
C09AA05,1124746
J01CA04,2160460
C09CA01,2169271
R01AA07,2160427
C03DA01,2046146
R01AA07,2181934
C09AA05,2046042
M01AX17,2160708
C09AA05,2046067
R06AE07,2160595
C08CA01,2037322
C07AG02,2037500
J01FA10,2160415
C09AA03,2037409
N03AX14,2160154
J01CR02,2160140
C09AA05,2046033
M01AC06,2161534
C07AB07,2037396
B01AF01,2160482
C05BA03,2037615
A10BA02,DUPLICATE
C07AB07,2160520
C09AA03,DUPLICATE
C10AA07,1322174
N06BX22,2160643
N01AB08,2160657
C07AB02,2037900
C10AA05,2160902
C09AA02,2037394
C09CA06,2181803
C03DA01,2046143
B01AF01,2160496
C01DX12,2193839
C09CA01,2161515
B01AF01,2160914
C10AA05,2075973
B01AC06,2160775
C09DA01,1124695
N03AX14,2160793
C10AA05,2075972
C09DA01,2037452
M01AE01,2160570
B01AF01,2160451
C07AB02,2037909
M01AB15,2161483
C09DA01,1124694
J01FA10,2160421
M01AX17,2161590
M01AX17,2161565
A06AD11,2037562
C07AG02,1322104
C09CA06,2181806
C09AA03,2204022
N07CA01,2159313
B01AF01,2160509
M01AB15,2160585
C09AA02,2037507
C09AA03,2185243
M01AC06,2161525
C09AA03,2037468
J01FA10,2169287
C09CA01,2037448
C09CA01,2187056
C03DA01,1124700
C01DX12,2037943
J05AX05,2161485
M01AB05,2160599
C09AA05,2045993
A10BA02,2160550
N03AX14,2160787
R01AA05,2160868
M01AX17,2160690
B01AC06,2160750
C09AA05,2046037
C08CA01,1322112
C09DA01,2187050
M01AB15,2160581
N06BX22,2160639
C09AA05,DUPLICATE
C09AA03,DUPLICATE
C09DA01,2160674
J05AX05,2160905
C09AA05,2046035
N07CA01,2160505
A06AD11,2159319
N03AX14,2160786
C07AB07,DUPLICATE
J01DD04,2160583
J01FA10,2160419
B01AF01,2161570
M01AX17,2161524
C09AA05,2045993
C09DA01,2160906
C02AC05,2169276
M01AB05,2160600
C07AB07,2037455
C02AC05,2038527
C07AB07,DUPLICATE
J01CA04,2160463
C08CA01,2037316
C03DA01,2046406
C09AA03,1322078
B01AF01,DUPLICATE
B01AF01,2209193
C09CA01,2037609
M01AC06,2161528
C09AA03,2186916
M01AX17,2160706
A10BA02,2160553
M01AC06,2161536
C07AG02,2037431
C08CA01,2037327
C08CA01,DUPLICATE
M01AB05,2160602
B01AC06,2160929
C09DA01,2160910
R01AA07,2160429
C09AA05,2057771
C09AA02,2037390
R01AA05,2160803
A10BA02,2160630
A05AA02,2161478
N06DA02,2161535
J05AH02,2160901
A10BA02,2160544
C09AA05,2045987
M01AE01,2160568
J05AX05,2160615
C02AC05,2160634
C07AB07,2160518
M01AX17,2161510
J02AC01,2160579
R01AA05,2160812
C09AA03,2037560
J01CR02,2160461
C09DA01,2161544
A02BC01,2160158
N03AX14,2160753
C09AA05,1124778
C09AA02,DUPLICATE
N06DA02,2161519
J01FA10,2160416
C09CA01,2169275
C09CA03,2046100
C03DA01,2046407
B01AF01,2160908
J01CR02,2161555
N06BX22,2161497
C09CA03,2160444
J01FA10,2160504
N06BX22,2161559
C10AA07,2160474
C03DA01,1124701
M01AE01,2160918
C09DA01,2037481
M01AE01,2160567
R01AA05,2160805
C08CA01,2037329
C09AA02,2037450
C10AA07,2160475
B01AC06,2160101
C09AA03,DUPLICATE
C09AA02,2037392
C04AE02,2039319
N03AX09,2160711
C07AB07,DUPLICATE
C10AA07,2046013
C09AA03,2037565
R01AA05,2160423
J01CA04,2160464
C09CA01,2037377
R01AA07,2160439
R01AA05,2160807
J02AC01,2160574
J01FA10,DUPLICATE
N06DA02,2160676
J01FA10,2160495
N03AX14,2160789
R01AA07,2160441
J01FA10,2169288
C09DA01,2160909
C08CA01,1322052
C09AA05,2045995
J01CR02,2160146
S01EE01,2160712
M01AE01,2160566
C01EB22,2160115
N03AX09,2160747
A10BA02,DUPLICATE
C09CA01,2037442
C09AA05,2046041
C07AB07,DUPLICATE
J01CR02,2161520
R01AA05,2160864
M01AX17,2160700
A10BA02,2160626
C09AA02,DUPLICATE
N07CA01,2160506
C05BA03,2161578
B01AF01,2160512
M01AC06,2161532
C10AA07,2160424
C10AA05,DUPLICATE
C08CA01,2169258
M01AX17,2161603
C09CA03,1322039
R01AA05,2160863
N03AX14,2160779
M01AE01,2160548
A05AA02,2160776
B01AC06,DUPLICATE
B01AF01,2160510
B03AB05,2160633
N03AX09,2161583
J05AX05,2160620
C03DA01,2046404
C05BA03,2160662
J01CR02,2160454
M01AE01,2160546
B01AC06,DUPLICATE
R01AA05,2160817
R01AA05,2160804
C09AA03,2037467
N03AX09,2160694
C10AA05,2037353
C10AA07,2160478
C10AA05,1322281
N07CA01,2159314
N03AX14,2160791
R01AA05,2160898
C09CA03,1322037
A10BA02,2160561
C09AA03,2037644
C09AA02,2037517
C09AA03,2204023
A06AD11,2159322
B01AC06,2160773
C09CA03,DUPLICATE
C10AA07,2188539
B01AF01,2160470
N07CA01,2160507
N07AX02,2160153
C09AA05,2046015
A10BA02,2160563
C09DA01,2037488
N07AX02,2160155
R01AA05,2160900
M01AX17,2161518
N03AX14,2160801
M01AE01,2160565
R06AE07,2160598
B01AF01,2161556
C09DA01,2160664
C07AB07,2037381
C01EB15,2204025
R01AA07,2160428
J01DD04,2160698
C08CA01,2037320
C07AB02,DUPLICATE
R01AA05,2160858
C01EB22,2160723
C09CA03,2160446
M01AB05,2160603
B01AC06,2160143
N07CA01,2161443
C09AA02,2037446
C07AB07,2037379
C09CA01,1124698
A02BC01,2160157
A10BA02,DUPLICATE
C10AA05,2037354
C03DA01,2160685
R01AA05,2160822
N06BX22,2160675
C10AA07,2160476
C07AB07,DUPLICATE
C09DA01,2037482
C07AB07,DUPLICATE
A10BA02,DUPLICATE
C07AB02,2037419
C07AB02,2037902
M01AE01,2160547
C09AA03,2185241
B01AF01,2160515
C09CA03,1322036
C09CA06,2037496
A10BA02,2037495
B01AC06,2160794
C09AA02,2037504
C02AC05,2038531
C09AA05,2169282
B01AC06,2160771
C10AA05,DUPLICATE
J05AH02,2160795
C07AB02,2037401
C07AB02,2037412
C01EB22,2161499
"A13A
 ",2160656
N07CA01,2161444
C07AB07,2185129
N03AX09,2160748
C04AE02,1322259
N03AX14,2160752
R06AE07,2160584
C01EB22,2160724
N02BA01,2160102
C07AB07,2160528
C01DX12,2038723
C02AC05,DUPLICATE
C10AA05,1322282
C08CA01,2185127
J01CA04,2160457
C07AG02,1322109
C09CA01,2161516
C10AA07,DUPLICATE
B01AF01,2160449
B01AF01,2160487
A10BA02,DUPLICATE
B01AF01,2160481
C01EB22,2161574
M01AX17,2160702
A10BA02,2160540
C09AA02,2037447
M01AC06,2161587
R01AA07,2160435
A10BA02,2160564
C07AB07,2160517
A13A,2160638
R06AE07,2160594
N05CF01,2160629
C07AB07,1322007
C07AB02,2037906
A06AD11,2161514
C08CA01,DUPLICATE
C07AG02,1322103
C02AC05,1322270
C01DX12,2193840
C07AB07,2037388
C07AB07,2161481
C09AA05,2046068
C01EB22,2160722
C07AG02,DUPLICATE
C07AG02,2169323
C04AE02,2037926
C09CA03,1322033
M01AC06,2161529
C07AB07,2037457
C07AG02,DUPLICATE
M01AX17,2161511
B01AF01,DUPLICATE
N03AF01,2160582
M01AC06,2161539
C09AA05,2046040
C07AB07,2037458
M01AB15,2161575
C08CA01,2037323
C07AB02,2037415
C09AA03,2169269
C01DX12,2037942
B01AF01,2160516
N03AX14,2160156
L04AA13,2160612
B01AC06,DUPLICATE
C09CA03,2160447
C09AA05,2046031
S01EE01,2161530
C07AB07,DUPLICATE
N03AX09,2160746
C01DX12,2038728
N06DA02,2160678
C03DA01,2046144
B03AB05,2161488
C09AA05,2169279
C03DA01,2046405
N07CA01,2160508
C08CA01,2037332
J02AC01,2160606
C02AC05,2160635
C09AA02,2037509
M01AX17,2160703
C08CA01,DUPLICATE
C02AC05,1322269
J01FA10,DUPLICATE
M01AE01,2160926
J01FA10,2160422
C08CA01,2037321
C08CA01,2185128
C09AA03,DUPLICATE
B01AC06,2160796
C09AA02,DUPLICATE
M01AB15,2160593
C02AC05,2212959
C02AC05,2037914
J01CR02,2160866
B01AC06,2160141
C02AC05,2038528
C09AA02,2037505
C09CA01,2169274
B01AC06,2160142
C08CA01,1322210
R01AA07,2160436
C09AA03,1322077
J05AX05,2160614
C09AA05,1124780
C09AA03,DUPLICATE
C08CA01,1321962
C09CA03,DUPLICATE
C07AG02,1322110
C08CA01,2037324
C09CA01,DUPLICATE
J01FA10,2160498
C02AC05,1322185
A10BA02,2160551
