Generic Name,Currency,Ex Factory Wholesale Price,Unit Price,Region,Product Group,Marketing Authority,Local Pack Description,Formulation,Fill Size,Strength,Strength Unit,LOCAL_PACK_CODE
DIPHENHYDRAMINE (CHLORHYDRATE DE),CAD,4.04,,NORTH AMERICA,Diphenhydramine,Sandoz,Sol. Inj. 50 mg/mL,Sol. Inj,1,50,MG,00596612
DIPHENHYDRAMINE (CHLORHYDRATE DE),CAD,4.04,,NORTH AMERICA,Diphenist,Oméga,Sol. Inj. 50 mg/mL,Sol. Inj,1,50,MG,02219336
FLUNARIZINE (CHLORHYDRATE DE),CAD,43.22,0.7203,NORTH AMERICA,Flunarizine,AA Pharma,Caps. 5 mg,Caps,60,5,MG,02246082
FLUNARIZINE (CHLORHYDRATE DE),CAD,72.03,0.7203,NORTH AMERICA,Flunarizine,AA Pharma,Caps. 5 mg,Caps,100,5,MG,02246082
MÉBENDAZOLE,CAD,19.27,3.2117,NORTH AMERICA,Vermox,Janss. Inc,Co. 100 mg,Co,6,100,MG,00556734
PRAZIQUANTEL,CAD,23.12,5.78,NORTH AMERICA,Biltricide,Bayer,Co. 600 mg,Co,4,600,MG,02230897
PRAZIQUANTEL,CAD,34.68,5.78,NORTH AMERICA,Biltricide,Bayer,Co. 600 mg,Co,6,600,MG,02230897
PYRANTEL (PAMOATE DE),CAD,7.18,0.7175,NORTH AMERICA,Jamp-Pyrantel,Pamoate Jamp,Co. 125 mg,Co,10,125,MG,02380617
PYRANTEL (PAMOATE DE),CAD,7.18,0.7175,NORTH AMERICA,Riva-Pyrantel,Pamoate Riva,Co. 125 mg,Co,10,125,MG,02535467
PYRANTEL (PAMOATE DE),CAD,23.1,0.77,NORTH AMERICA,Jamp-Pyrantel,Pamoate Jamp,Co. 125 mg,Co,30,125,MG,02412470
PYRANTEL (PAMOATE DE),CAD,812.02,0.77,NORTH AMERICA,Jamp-Pyrantel,Pamoate Jamp,Co. 125 mg,Co,,125,MG,02412470
AMIKACINE (SULFATE D'),CAD,62.4,,NORTH AMERICA,Amikacin,Sulfate Injection Marcan,Sol. Inj. 250 mg/mL (2 mL),Sol. Inj,1,250,MG,02481073
AMIKACINE (SULFATE D'),CAD,62.4,,NORTH AMERICA,Amikacine,(Sulfate d') Sandoz,Sol. Inj. 250 mg/mL (2 mL),Sol. Inj,1,250,MG,02242971
AMIKACINE (SULFATE D'),CAD,849.0,84.9,NORTH AMERICA,Sulfate d'Amikacine,Hikma,Sol. Inj. 250 mg/mL (2 mL),Sol. Inj,10,250,MG,02525909
AMIKACINE (SULFATE D'),CAD,62.4,,NORTH AMERICA,Sulfate,d'Amikacine Oméga,Sol. Inj. 250 mg/mL (2 mL),Sol. Inj,1,250,MG,02486717
AMIKACINE (SULFATE D'),CAD,624.01,62.4008,NORTH AMERICA,Sulfate d'amikacine,pour Jamp,Sol. Inj. 250 mg/mL (2 mL),Sol. Inj,10,250,MG,02529459
AMIKACINE (SULFATE D'),CAD,624.01,62.4008,NORTH AMERICA,VPI-Amikacin,VPI,Sol. Inj. 250 mg/mL (2 mL),Sol. Inj,10,250,MG,02506599
TOBRAMYCINE (SULFATE DE),CAD,2.41,,NORTH AMERICA,Jamp-Tobramycin,(avec Jamp,Sol. Inj. 40 mg/mL,Sol. Inj,2,40,MG,02420287
TOBRAMYCINE (SULFATE DE),CAD,36.15,,NORTH AMERICA,Jamp-Tobramycin,(avec Jamp,Sol. Inj. 40 mg/mL,Sol. Inj,30,40,MG,02420287
TOBRAMYCINE (SULFATE DE),CAD,2.41,,NORTH AMERICA,Tobramycin,Fresenius,Sol. Inj. 40 mg/mL,Sol. Inj,2,40,MG,02230640
TOBRAMYCINE (SULFATE DE),CAD,36.15,,NORTH AMERICA,Tobramycin,Fresenius,Sol. Inj. 40 mg/mL,Sol. Inj,30,40,MG,02230640
TOBRAMYCINE (SULFATE DE),CAD,2.41,,NORTH AMERICA,Tobramycine,(sans Sandoz,Sol. Inj. 40 mg/mL,Sol. Inj,2,40,MG,99005069
TOBRAMYCINE (SULFATE DE),CAD,2.41,,NORTH AMERICA,Tobramycine,(sulfate de) Sandoz,Sol. Inj. 40 mg/mL,Sol. Inj,2,40,MG,02241210
TOBRAMYCINE (SULFATE DE),CAD,2.41,,NORTH AMERICA,Tobramycine,Injectable Sterimax,Sol. Inj. 40 mg/mL,Sol. Inj,2,40,MG,02502372
TOBRAMYCINE (SULFATE DE),CAD,2.41,,NORTH AMERICA,Tobramycine,pour injection Jamp,Sol. Inj. 40 mg/mL,Sol. Inj,2,40,MG,02533103
CÉFADROXIL (MONOHYDRATE DE),CAD,58.95,0.5895,NORTH AMERICA,Apo-Cefadroxil,Apotex,Caps. 500 mg,Caps,100,500,MG,02240774
CÉFADROXIL (MONOHYDRATE DE),CAD,58.95,0.5895,NORTH AMERICA,JAMP Cefadroxil,Jamp,Caps. 500 mg,Caps,100,500,MG,02544792
CÉFADROXIL (MONOHYDRATE DE),CAD,58.95,0.5895,NORTH AMERICA,Teva-Cefadroxil,Teva Can,Caps. 500 mg,Caps,100,500,MG,02235134
CÉFAZOLINE SODIQUE,CAD,26.96,2.6961,NORTH AMERICA,Céfazoline,Teva Can,Pd. Inj. 1 g,Pd. Inj,10,1,G,02108127
CÉFAZOLINE SODIQUE,CAD,26.96,2.6961,NORTH AMERICA,Céfazoline,pour injection Apotex,Pd. Inj. 1 g,Pd. Inj,10,1,G,02297205
CÉFAZOLINE SODIQUE,CAD,26.96,2.6961,NORTH AMERICA,Céfazoline,pour injection Fresenius,Pd. Inj. 1 g,Pd. Inj,10,1,G,02237138
CÉFAZOLINE SODIQUE,CAD,67.4,2.6961,NORTH AMERICA,Céfazoline,pour injection Hikma,Pd. Inj. 1 g,Pd. Inj,25,1,G,02437112
CÉFAZOLINE SODIQUE,CAD,26.96,2.6961,NORTH AMERICA,Céfazoline,pour injection Sandoz,Pd. Inj. 1 g,Pd. Inj,10,1,G,02308959
CÉFAZOLINE SODIQUE,CAD,26.96,2.6961,NORTH AMERICA,Céfazoline,sodique pour Sterimax,Pd. Inj. 1 g,Pd. Inj,10,1,G,02465469
CÉFAZOLINE SODIQUE,CAD,57.12,5.712,NORTH AMERICA,Céfazoline,pour injection Sterimax,Pd. Inj. 1 g,Pd. Inj,10,1,G,02524791
CÉFAZOLINE SODIQUE,CAD,30.15,,NORTH AMERICA,Cefazolin,Teva,Pd. Inj. 1 g,Pd. Inj,1,1,G,02108135
CÉFAZOLINE SODIQUE,CAD,301.5,30.15,NORTH AMERICA,Céfazoline,pour injection Apotex,Pd. Inj. 1 g,Pd. Inj,10,1,G,02297213
CÉFAZOLINE SODIQUE,CAD,301.5,30.15,NORTH AMERICA,Céfazoline,pour injection Fresenius,Pd. Inj. 1 g,Pd. Inj,10,1,G,02237140
CÉFAZOLINE SODIQUE,CAD,301.5,30.15,NORTH AMERICA,Céfazoline,pour injection Hikma,Pd. Inj. 1 g,Pd. Inj,10,1,G,02437120
CÉFAZOLINE SODIQUE,CAD,30.15,,NORTH AMERICA,Céfazoline,pour injection Sandoz,Pd. Inj. 1 g,Pd. Inj,1,1,G,02308967
CÉFAZOLINE SODIQUE,CAD,301.5,30.15,NORTH AMERICA,Céfazoline,sodique pour Sterimax,Pd. Inj. 1 g,Pd. Inj,10,1,G,02465477
CÉFAZOLINE SODIQUE,CAD,25.0,2.5,NORTH AMERICA,Céfazoline,Novopharm,Pd. Inj. 1 g,Pd. Inj,10,1,G,02108119
CÉFAZOLINE SODIQUE,CAD,62.5,2.5,NORTH AMERICA,Cefazoline,pour injection Hikma,Pd. Inj. 1 g,Pd. Inj,25,1,G,02437104
CÉFAZOLINE SODIQUE,CAD,25.0,2.5,NORTH AMERICA,Céfazoline,pour injection Sandoz,Pd. Inj. 1 g,Pd. Inj,10,1,G,02308932
CÉFÉPIME (CHLORHYDRATE DE),CAD,30.2,,NORTH AMERICA,Apo-Cefepime,Apotex,Pd. Inj. 2 g,Pd. Inj,1,2,G,02467518
CEFIXIME,CAD,19.02,2.7172,NORTH AMERICA,Auro-Cefixime,AuroPharma,Co. 400 mg,Co,7,400,MG,02432773
CEFIXIME,CAD,27.17,2.7172,NORTH AMERICA,Auro-Cefixime,AuroPharma,Co. 400 mg,Co,10,400,MG,02432773
CEFIXIME,CAD,19.02,2.7172,NORTH AMERICA,Suprax,Odan,Co. 400 mg,Co,7,400,MG,00868981
CEFIXIME,CAD,27.17,2.7172,NORTH AMERICA,Suprax,Odan,Co. 400 mg,Co,10,400,MG,00868981
CEFIXIME,CAD,18.32,0.3664,NORTH AMERICA,Auro-Cefixime,AuroPharma,Susp. Orale 100 mg/5 mL,Susp. Orale,50,100,MG,02468689
CEFIXIME,CAD,18.32,0.3664,NORTH AMERICA,Suprax,Odan,Susp. Orale 100 mg/5 mL,Susp. Orale,50,100,MG,00868965
CÉFOTAXIME SODIQUE,CAD,83.3,8.33,NORTH AMERICA,Céfotaxime,sodique pour Sterimax,Pd. Inj. 1 g,Pd. Inj,10,1,G,02434091
