Product,Company,URL,Loop Count,Total Records
+50,ISA,https://www.alfabeta.net/precio/50.html,0,0
100% WHEY PROTEIN,Laboratorio ENA,https://www.alfabeta.net/precio/100-whey-protein.html,0,0
102 FOCUS,Laboratorio Millet,https://www.alfabeta.net/precio/102-focus.html,0,0
102 MAGNESIO,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio.html,0,0
102 MAGNESIO CITRATO,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio-citrato.html,0,0
102 MAGNESIO GUMMIES,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio-gummies.html,0,0
102 MUJER,Laboratorio Millet,https://www.alfabeta.net/precio/102-mujer.html,0,0
102 PLUS,Laboratorio Millet,https://www.alfabeta.net/precio/102-plus.html,0,0
102 PLUS EFERVESCENTE,Laboratorio Millet,https://www.alfabeta.net/precio/102-plus-efervescente.html,0,0
102 SPORT BCAA,Laboratorio Millet,https://www.alfabeta.net/precio/102-sport-bcaa.html,0,0
102 VITAMINA C,Laboratorio Millet,https://www.alfabeta.net/precio/102-vitamina-c.html,0,0
3 TC,GlaxoSmithKline Biopharma,https://www.alfabeta.net/precio/3-tc.html,0,0
3 TC + AZT ELEA,Elea,https://www.alfabeta.net/precio/3-tc--azt-elea.html,0,0
3 TC COMPLEX,GlaxoSmithKline Biopharma,https://www.alfabeta.net/precio/3-tc-complex.html,0,0
4 x 4,ISA,https://www.alfabeta.net/precio/4-x-4.html,0,0
420 CBD BEAUTY,IQUISA,https://www.alfabeta.net/precio/420-cbd-beauty.html,0,0
420 CBD RELAX,IQUISA,https://www.alfabeta.net/precio/420-cbd-relax.html,0,0
420 CBD TETITA FELIZ PACK,IQUISA,https://www.alfabeta.net/precio/420-cbd-tetita-feliz-pack.html,0,0
5 FU,Cassará,https://www.alfabeta.net/precio/5-fu.html,0,0
5-ASA 1000,Domínguez,https://www.alfabeta.net/precio/5-asa-1000.html,0,0
5-ASA 2000,Domínguez,https://www.alfabeta.net/precio/5-asa-2000.html,0,0
5-ASA 400,Domínguez,https://www.alfabeta.net/precio/5-asa-400.html,0,0
5-ASA 4000,Domínguez,https://www.alfabeta.net/precio/5-asa-4000.html,0,0
5-ASA 500,Domínguez,https://www.alfabeta.net/precio/5-asa-500.html,0,0
5-ASA 800,Domínguez,https://www.alfabeta.net/precio/5-asa-800.html,0,0
5XR 1000,Ariston,https://www.alfabeta.net/precio/5xr-1000.html,0,0
5XR 500,Ariston,https://www.alfabeta.net/precio/5xr-500.html,0,0
8 HORAS,Elea,https://www.alfabeta.net/precio/8-horas.html,0,0
A-VITEL,Medipharma,https://www.alfabeta.net/precio/a-vitel.html,0,0
A-VITEL E,Medipharma,https://www.alfabeta.net/precio/a-vitel-e.html,0,0
A.H.A,Sempre Giovane,https://www.alfabeta.net/precio/aha.html,0,0
ABACAVIR ELEA,Elea,https://www.alfabeta.net/precio/abacavir-elea.html,0,0
ABACAVIR LAMIVUDINA TRB PHARMA,Trb-Pharma,https://www.alfabeta.net/precio/abacavir-lamivudina-trb-pharma.html,0,0
ABARAX,Elea,https://www.alfabeta.net/precio/abarax.html,0,0
ABAXON,Roemmers,https://www.alfabeta.net/precio/abaxon.html,0,0
ABELCET,Teva Argentina,https://www.alfabeta.net/precio/abelcet.html,0,0
ABERIC,Biotechno Pharma,https://www.alfabeta.net/precio/aberic.html,0,0
ABINTRA,B-Life,https://www.alfabeta.net/precio/abintra.html,0,0
ABIRANOVA,Celnova Argentina,https://www.alfabeta.net/precio/abiranova.html,0,0
ABIRATERON-A,Lafedar,https://www.alfabeta.net/precio/abirateron-a.html,0,0
ABIRATERONA GLENMARK,Glenmark,https://www.alfabeta.net/precio/abiraterona-glenmark.html,0,0
ABLOOM,Duncan,https://www.alfabeta.net/precio/abloom.html,0,0
ABLOOM 5,Duncan,https://www.alfabeta.net/precio/abloom-5.html,0,0
ABNOBA VISCUM FRAXINI,Filaxis Farmacéutica,https://www.alfabeta.net/precio/abnoba-viscum-fraxini.html,0,0
ABRALUX,Valuge,https://www.alfabeta.net/precio/abralux.html,0,0
ABRAXANE,Bristol,https://www.alfabeta.net/precio/abraxane.html,0,0
ABRIKAT,Eczane,https://www.alfabeta.net/precio/abrikat.html,0,0
ABRILADA,Pfizer,https://www.alfabeta.net/precio/abrilada.html,0,0
ABRYSVO,Pfizer,https://www.alfabeta.net/precio/abrysvo.html,0,0
AC QUAXA,F & F Farma,https://www.alfabeta.net/precio/ac-quaxa.html,0,0
ACALASTATERA,Jayor,https://www.alfabeta.net/precio/acalastatera.html,0,0
ACALIX,Roemmers,https://www.alfabeta.net/precio/acalix.html,0,0
ACALIX AP,Roemmers,https://www.alfabeta.net/precio/acalix-ap.html,0,0
ACALIX CRONOS,Roemmers,https://www.alfabeta.net/precio/acalix-cronos.html,0,0
ACANTEX,Siegfried,https://www.alfabeta.net/precio/acantex.html,0,0
ACCELON,Olbia Pharma,https://www.alfabeta.net/precio/accelon.html,0,0
ACCESORIOS PARA FISTULAS,Coloplast,https://www.alfabeta.net/precio/accesorios-para-fistulas.html,0,0
ACCU-CHEK ACTIVE GLUCOSA,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-active-glucosa.html,0,0
ACCU-CHEK ACTIVE KIT,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-active-kit.html,0,0
ACCU-CHEK FASTCLIX,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-fastclix.html,0,0
ACCU-CHEK FASTCLIX KIT,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-fastclix-kit.html,0,0
ACCU-CHEK FASTCLIX KIT NP,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-fastclix-kit-np.html,0,0
ACCU-CHEK GUIDE,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-guide.html,0,0
ACCU-CHEK GUIDE CONTROL,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-guide-control.html,0,0
ACCU-CHEK GUIDE KIT,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-guide-kit.html,0,0
ACCU-CHEK PERFORMA 25,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-performa-25.html,0,0
ACCU-CHEK PERFORMA 50,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-performa-50.html,0,0
ACCU-CHEK PERFORMA CONTROL,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-performa-control.html,0,0
ACCU-CHEK SOFTCLIX NEW,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-softclix-new.html,0,0
ACCU-CHEK SOFTCLIX PUNZADOR,Roche Diabetes,https://www.alfabeta.net/precio/accu-chek-softclix-punzador.html,0,0
ACEITE DE ALMENDRAS EWE,Sanitas,https://www.alfabeta.net/precio/aceite-de-almendras-ewe.html,0,0
ACEITE DE ALMENDRAS EWE CON GOTERO,Sanitas,https://www.alfabeta.net/precio/aceite-de-almendras-ewe-con-gotero.html,0,0
ACEITE DE ARGAN EWE,Sanitas,https://www.alfabeta.net/precio/aceite-de-argan-ewe.html,0,0
ACEITE DE COCO NEUTRO,San Ceferino,https://www.alfabeta.net/precio/aceite-de-coco-neutro.html,0,0
ACEITE DE JOJOBA EWE,Sanitas,https://www.alfabeta.net/precio/aceite-de-jojoba-ewe.html,0,0
ACEITE DE KRILL,Innovapharma,https://www.alfabeta.net/precio/aceite-de-krill.html,0,0
ACEITE DE LAVANDA EWE,Sanitas,https://www.alfabeta.net/precio/aceite-de-lavanda-ewe.html,0,0
ACEITE DE LORENZO,AMN,https://www.alfabeta.net/precio/aceite-de-lorenzo.html,0,0
