PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description
182828,ARGENTINA,GlaxoSmithKline Biopharma,3 TC,lamivudine,2025-12-29,219142.56,IMPORTED,,,150 mg comp.rec.x 60
182827,ARGENTINA,GlaxoSmithKline Biopharma,3 TC,lamivudine,2025-12-29,95978.22,IMPORTED,,,sol.x 240 ml
508015,ARGENTINA,GlaxoSmithKline Biopharma,3 TC COMPLEX,lamivudine+zidovudine,2025-12-29,496962.79,IMPORTED,,,comp.rec.x 60
1608749,ARGENTINA,Elea,3 TC + AZT ELEA,lamivudine+zidovudine,2025-07-09,69455.63,,,,comp.x 60
2061024,ARGENTINA,Cassara,5 FU,fluorouracil,2025-12-15,53000.00,IOMA,16298.15,36701.85,ung.x 20 g
330504,ARGENTINA,Dominguez,5-ASA 1000,mesalazine,2025-12-30,178508.14,PAMI-only,,60999.77,1 g sachet x 30
1996982,ARGENTINA,Dominguez,5-ASA 1000,mesalazine,2025-12-30,203371.09,,,,1 g sup.x 30
330505,ARGENTINA,Dominguez,5-ASA 2000,mesalazine,2025-12-30,320088.38,IOMA,168111.53,151976.85,2 g sachet x 30
1483950,ARGENTINA,Dominguez,5-ASA 4000,mesalazine,2025-12-30,533343.03,IOMA,276177.94,257165.09,4 g sachet x 30
330519,ARGENTINA,Dominguez,5-ASA 500,mesalazine,2025-12-30,94240.66,IOMA,40452.43,53788.23,500 mg tablets x 30
330523,ARGENTINA,Dominguez,5-ASA 500,mesalazine,2025-12-30,169638.17,IOMA,74600.66,95037.51,500 mg tablets x 60
330518,ARGENTINA,Dominguez,5-ASA 400,mesalazine,2025-12-30,91364.63,IOMA,46348.48,45016.15,400 mg tablets x 30
330522,ARGENTINA,Dominguez,5-ASA 400,mesalazine,2025-12-30,173721.84,IOMA,88127.59,85594.25,400 mg tablets x 60
330511,ARGENTINA,Dominguez,5-ASA 400,mesalazine,2025-12-30,35948.24,IOMA,18236.23,17712.01,400 mg sup.x 10
330514,ARGENTINA,Dominguez,5-ASA 400,mesalazine,2025-12-30,102904.51,IOMA,52202.57,50701.94,400 mg sup.x 30
