Registration No,Product Name,Holder
MAL04125487AZ,Ceritec Film Coated Tablet 10mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19900509AZ,TRANPAM TABLET 0.5MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19872182AZ,METRONOL (METRONIDAZOLE 0.5% INJ),AIN MEDICARE SDN. BHD.
MAL22086034XZ,Ferrus Film-Coated Tablet 200mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890378AZ,DHASOLONE TABLET 5MG,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19911462X,Appeton Multi-Vitamin Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL07061564X,Appeton Essentials MV21G + Selenium,KOTRA PHARMA (M) SDN. BHD.
MAL09011476X,Appeton Essentials Glucosamine-500mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL20020689AZ,VASCOR TABLET 40MG F/C,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20034371XC,KORDEL`S EXECUTIVE B TABLET,CAMBERT(M) SDN. BHD.
MAL19962526AZ,MEXAN TABLET 80MG,IMEKS PHARMA SDN. BHD.
MAL19870410AZ,Glucoxit Tablet 500mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL16115039AZ,Prelica Capsule 75mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20034634AZ,CIPROCEP TABLET 250 MG,IMEKS PHARMA SDN. BHD.
MAL06091382ARZ,Menopur Powder for Injection and Solvent 75 IU,Ferring Sdn. Bhd.
MAL21036030AZ,Novexib 200mg Capsules,CELESTEMAL PHARMA SDN. BHD.
MAL06091374XRS,INTRALIPID 20%,FRESENIUS KABI MALAYSIA SDN. BHD
MAL19991366AZ,FUROXIME INJECTION 750MG,SPG PHARMA (MALAYSIA) SDN BHD
MAL20020268AZ,Ibuspan Tablet 400mg,SM PHARMACEUTICALS SDN. BHD.
MAL18116121NC,JANIPRO Elepro Multivitamins & Multiminerals Capsule,Janipro (M) Sdn Bhd
MAL19992598AZ,MUCOLEX INJECTION (2ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19987004AZ,VOREN SUPPOSITORIES 12.5MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20014497AZ,CEF-3 INJECTION IM (1G),SPG PHARMA (MALAYSIA) SDN BHD
MAL19973689AZ,MORPHEAS INJECTION 10 MG/ ML,DUOPHARMA (M) SENDIRIAN BERHAD
