Generic,Flags,Form,Strength,StrengthValue,StrengthUnit,PPB,DIN,Brand,Manufacturer,Pack,PackPrice,UnitPrice,UnitPriceSource,Page,confidence,confidence_label,confidence_reason
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C,50 mg,50,mg,FALSE,02258595,Humira (seringue) AbbVie,"2 1428,48",,714.24,,,1,0.87,high,Missing Pack/Format (-0.05); Unit price missing (pack cost present) (-0.08)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C,50 mg,50,mg,FALSE,99100385,"Humira (stylo) AbbVie La personne doit avoir commencé un traitement et reçu un remboursement avant le 3 mars 2021.  pour le traitement de la polyarthrite rhumatoïde modérée ou grave, à la condition que le prescripteur fournisse","2 1428,48",,714.24,,,1,0.83,medium,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05); Unit price missing (pack cost present) (-0.08)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C,50 mg,50,mg,FALSE,99100385,"Humira (stylo) AbbVie La personne doit avoir commencé un traitement et reçu un remboursement avant le 3 mars 2021.  pour le traitement de la polyarthrite rhumatoïde modérée ou grave, à la condition que le prescripteur fournisse","2 1428,48",,20.0,4.0,Printed,1,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C,50 mg,50,mg,FALSE,99100385,"Humira (stylo) AbbVie La personne doit avoir commencé un traitement et reçu un remboursement avant le 3 mars 2021.  pour le traitement de la polyarthrite rhumatoïde modérée ou grave, à la condition que le prescripteur fournisse","2 1428,48",,2.0,12.0,Printed,1,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C.(ser),60 mg,60,mg,FALSE,02343541,Prolia Amgen Annexe IV.1 2,"1 330,00",,,,,2,0.54,low,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05); Unit price missing (-0.15); Pack cost missing (-0.22)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C.,120 mg,120,mg,FALSE,02368153,Xgeva Amgen La personne doit avoir commencé un traitement et reçu un remboursement avant le 7 novembre 2024.  pour la prévention des événements osseux chez les personnes atteintes d’un cancer de la prostate résistant,"1 538,45",,,,,3,0.54,low,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05); Unit price missing (-0.15); Pack cost missing (-0.22)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C,50 mg,50,mg,FALSE,02274728,Enbrel (seringue) Amgen,"4 1437,13",,359.2825,,,3,0.87,high,Missing Pack/Format (-0.05); Unit price missing (pack cost present) (-0.08)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C,50 mg,50,mg,FALSE,99100373,"Enbrel SureClick Amgen La personne doit avoir commencé un traitement et reçu un remboursement avant le 18 août 2017 :  pour le traitement de la polyarthrite rhumatoïde modérée ou grave, à la condition que le prescripteur fournisse","4 1437,13",,359.2825,,,3,0.83,medium,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05); Unit price missing (pack cost present) (-0.08)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C,50 mg,50,mg,FALSE,99100373,"Enbrel SureClick Amgen La personne doit avoir commencé un traitement et reçu un remboursement avant le 18 août 2017 :  pour le traitement de la polyarthrite rhumatoïde modérée ou grave, à la condition que le prescripteur fournisse","4 1437,13",,0.1,3.0,Printed,3,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj.,300 mcg,300,mcg,FALSE,01968017,Neupogen Amgen,"10 1731,89",,173.189,,,5,0.87,high,Missing Pack/Format (-0.05); Unit price missing (pack cost present) (-0.08)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj.,300 mcg,300,mcg,FALSE,99001454,Neupogen Amgen La personne doit avoir commencé un traitement et reçu un remboursement avant le 30 septembre 2020.  pour le traitement des personnes recevant des cycles de chimiothérapie moyennement ou hautement,"10 2771,02",,277.102,,,5,0.83,medium,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05); Unit price missing (pack cost present) (-0.08)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj.,300 mcg,300,mcg,FALSE,99001454,Neupogen Amgen La personne doit avoir commencé un traitement et reçu un remboursement avant le 30 septembre 2020.  pour le traitement des personnes recevant des cycles de chimiothérapie moyennement ou hautement,"10 2771,02",,0.5,109.0,Printed,5,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj.,300 mcg,300,mcg,FALSE,99001454,Neupogen Amgen La personne doit avoir commencé un traitement et reçu un remboursement avant le 30 septembre 2020.  pour le traitement des personnes recevant des cycles de chimiothérapie moyennement ou hautement,"10 2771,02",,1.5,109.0,Printed,5,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj.,300 mcg,300,mcg,FALSE,99001454,Neupogen Amgen La personne doit avoir commencé un traitement et reçu un remboursement avant le 30 septembre 2020.  pour le traitement des personnes recevant des cycles de chimiothérapie moyennement ou hautement,"10 2771,02",,0.5,109.0,Printed,5,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C.(ser),20 mg,20,mg,FALSE,02245619,Copaxone Teva Innov La personne doit avoir commencé un traitement et reçu un remboursement avant le 5 juillet 2018.,"30 1 296,00",,43.2,,,5,0.83,medium,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05); Unit price missing (pack cost present) (-0.08)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C.(ser),20 mg,20,mg,FALSE,02245619,Copaxone Teva Innov La personne doit avoir commencé un traitement et reçu un remboursement avant le 5 juillet 2018.,"30 1 296,00",,0.1,5.0,Printed,5,0.91,high,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Pd. Perf. I.V.,100 mg,100,mg,FALSE,02244016,"Remicade Janss. Inc La personne doit avoir commencé un traitement et reçu un remboursement avant le 19 août 2020.  pour le traitement des personnes atteintes de la maladie de Crohn intestinale modérée ou grave, à la","1 940,00",,940.0,,,6,0.83,medium,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05); Unit price missing (pack cost present) (-0.08)
DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,,Sol. Inj. S.C,100 U,100,U,FALSE,02251930,Lantus SanofiAven,,,88.12,5.0,Printed,7,0.88,high,Missing Manufacturer (-0.07); Missing Pack/Format (-0.05)
