row_index,DIN,flags,ai_confidence,ai_note,before_Product Group,after_Product Group,before_Marketing Authority,after_Marketing Authority,before_Ex Factory Wholesale Price,after_Ex Factory Wholesale Price,before_Unit Price,after_Unit Price,before_Fill Size,after_Fill Size
791,00012750,BOTH_PRICES_BLANK,0.900,Product group and marketing authority directly extracted from the snippet. Format token identified from the line. Prices not available.,Matulane,Matulane,Sigma-Tau,Sigma-Tau,,,,,,100
1278,02239864,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from manufacturer and retained information from snippet.,Feno-Micro,Feno-Micro,(200 mg) AA Pharma,AA Pharma,27.22,27.22,0.2722,0.2722,100,100
1279,02269082,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from manufacturer and retained relevant fields.,Lipidil EZ,Lipidil EZ,(145 mg) BGP Pharma,BGP Pharma,32.16,32.16,1.072,1.072,30,30
1280,02241602,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from manufacturer and extracted available values.,Lipidil Supra,Lipidil Supra,(160 mg) Fournier,Fournier,37.27,37.27,1.2423,1.2423,30,30
1282,02454696,MANUFACTURER_LEAKS_FORMAT,0.900,Removed dose from manufacturer to comply with rules.,Taro-Fenofibrate,Taro-Fenofibrate,E (145 mg) Sun Pharma,Sun Pharma,27.22,27.22,0.2722,0.2722,100,145
1815,02248855,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer extracted; dose removed from Marketing Authority.,pms-Metoprolol-L,pms-Metoprolol-L,25 mg Phmscience,Phmscience,32.15,32.15,6.43,6.43,25,100
1819,00618640,MANUFACTURER_LEAKS_FORMAT,0.900,"Removed dose from manufacturer, kept relevant information.",Apo-Metoprolol,Apo-Metoprolol,100 mg Apotex,Apotex,1000.0,1000.0,124.95,124.95,100,100
1820,00751170,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer includes dose; reformatted.,Apo-Metoprolol,Apo-Metoprolol,L 100 mg Apotex,Apotex,1000.0,1000.0,124.95,124.95,100,100
1822,02350408,MANUFACTURER_LEAKS_FORMAT,0.900,"Manufacturer extracted without dose, format details retained.",Metoprolol,MÉTOPROLOL,100 mg Sanis,Sanis,12.5,12.5,62.48,62.48,100,100
1830,00618632,MANUFACTURER_LEAKS_FORMAT,0.900,Manufacturer extracted but format token verified from line item.,Apo-Metoprolol,Apo-Metoprolol,50 mg Apotex,Apotex,1000.0,1000.0,62.38,62.38,50,100
1831,00749354,MANUFACTURER_LEAKS_FORMAT,0.900,"Accurate extraction from snippet, removed dosage from manufacturer.",Apo-Metoprolol,Apo-Metoprolol,L 50 mg Apotex,Apotex,1000.0,1000.0,62.38,62.38,50,100
1833,02350394,MANUFACTURER_LEAKS_FORMAT,0.900,Extracted brand and manufacturer from the snippet; confidence is high due to consistency with format.,Metoprolol,MÉTOPROLOL (TARTRATE DE),50 mg Sanis,Sanis,31.19,31.19,6.24,6.24,50,100
2774,02427176,MANUFACTURER_LEAKS_FORMAT,0.900,"Removed dose from Marketing Authority, used values from snippet.",ASA EC,ASA EC,(80 mg) Sanis,Sanis,26.5,26.5,0.053,0.053,500,80
