COUNTRY,PROVINCE,SOURCE,Source Tender Id,Tender Title,Unique Lot ID,Lot Number,Sub Lot Number,Lot Title,Est Lot Value Local,Local Currency,Deadline Date,TENDERING AUTHORITY,Tendering Authority Type,Tender Procedure Type,CN Document Number,Original_Publication_Link_Notice,Ceiling Unit Price,MEAT,Price Evaluation ratio,Quality Evaluation ratio,Other Evaluation ratio,CAN Document Number,Award Date,Bidder,Bid Status Award,Lot_Award_Value_Local,Awarded Unit Price,Original_Publication_Link_Award,Status
CHILE,Región del Maule,MERCADOPUBLICO,3558-24-LE23,Adquisición De Medicamentos Departamento De Salud,51102301,1,,Aciclovir 400 mg comprimidos,,,18-07-2023 12:15:00,I MUNICIPALIDAD DE PENCAHUE,,,3558-24-LE23,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,,,40.0,30.0,30,3558-24-LE23,2023-08-01,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,NO,140000,212.3216,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,AWARDED
CHILE,Región del Maule,MERCADOPUBLICO,3558-24-LE23,Adquisición De Medicamentos Departamento De Salud,51102301,1,,Aciclovir 400 mg comprimidos,,,18-07-2023 12:15:00,I MUNICIPALIDAD DE PENCAHUE,,,3558-24-LE23,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,,,40.0,30.0,30,3558-24-LE23,2023-08-01,80.447.400-5 MUNNICH PHARMA MEDICAL SPA,NO,140000,101.97,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,AWARDED
CHILE,Región del Maule,MERCADOPUBLICO,3558-24-LE23,Adquisición De Medicamentos Departamento De Salud,51102301,1,,Aciclovir 400 mg comprimidos,,,18-07-2023 12:15:00,I MUNICIPALIDAD DE PENCAHUE,,,3558-24-LE23,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,,,40.0,30.0,30,3558-24-LE23,2023-08-01,76.079.782-0 WINPHARM SPA,NO,140000,130,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,AWARDED
CHILE,Región del Maule,MERCADOPUBLICO,3558-24-LE23,Adquisición De Medicamentos Departamento De Salud,51102301,1,,Aciclovir 400 mg comprimidos,,,18-07-2023 12:15:00,I MUNICIPALIDAD DE PENCAHUE,,,3558-24-LE23,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,,,40.0,30.0,30,3558-24-LE23,2023-08-01,76.956.140-4 ETHON PHARMACEUTICALS COMERCIALIZADORA IMP EXP Y DIST SPA,YES,140000,70,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,AWARDED
CHILE,Región del Maule,MERCADOPUBLICO,3558-24-LE23,Adquisición De Medicamentos Departamento De Salud,51102301,1,,Aciclovir 400 mg comprimidos,,,18-07-2023 12:15:00,I MUNICIPALIDAD DE PENCAHUE,,,3558-24-LE23,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,,,40.0,30.0,30,3558-24-LE23,2023-08-01,76.167.536-2 SOCIEDAD COMERCIALIZADORA MEDIKAR LIMITADA,NO,140000,82.57,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,AWARDED
CHILE,Región del Maule,MERCADOPUBLICO,3558-24-LE23,Adquisición De Medicamentos Departamento De Salud,51102301,1,,Aciclovir 400 mg comprimidos,,,18-07-2023 12:15:00,I MUNICIPALIDAD DE PENCAHUE,,,3558-24-LE23,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,,,40.0,30.0,30,3558-24-LE23,2023-08-01,76.830.090-9 FARMACEUTICA CARIBEAN SPA,NO,140000,66.9,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,AWARDED
CHILE,Región del Maule,MERCADOPUBLICO,3558-24-LE23,Adquisición De Medicamentos Departamento De Salud,51191905,2,,Acido Fólico 5 mg Comprimidos,,,18-07-2023 12:15:00,I MUNICIPALIDAD DE PENCAHUE,,,3558-24-LE23,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,,,40.0,30.0,30,3558-24-LE23,2023-08-01,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,NO,22500,283.0954,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,AWARDED
CHILE,Región del Maule,MERCADOPUBLICO,3558-24-LE23,Adquisición De Medicamentos Departamento De Salud,51191905,2,,Acido Fólico 5 mg Comprimidos,,,18-07-2023 12:15:00,I MUNICIPALIDAD DE PENCAHUE,,,3558-24-LE23,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,,,40.0,30.0,30,3558-24-LE23,2023-08-01,80.447.400-5 MUNNICH PHARMA MEDICAL SPA,NO,22500,84.7,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,AWARDED
CHILE,Región del Maule,MERCADOPUBLICO,3558-24-LE23,Adquisición De Medicamentos Departamento De Salud,51191905,2,,Acido Fólico 5 mg Comprimidos,,,18-07-2023 12:15:00,I MUNICIPALIDAD DE PENCAHUE,,,3558-24-LE23,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,,,40.0,30.0,30,3558-24-LE23,2023-08-01,76.079.782-0 WINPHARM SPA,YES,22500,15,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,AWARDED
CHILE,Región del Maule,MERCADOPUBLICO,3558-24-LE23,Adquisición De Medicamentos Departamento De Salud,51191905,2,,Acido Fólico 5 mg Comprimidos,,,18-07-2023 12:15:00,I MUNICIPALIDAD DE PENCAHUE,,,3558-24-LE23,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,,,40.0,30.0,30,3558-24-LE23,2023-08-01,76.830.090-9 FARMACEUTICA CARIBEAN SPA,NO,22500,15.7,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,AWARDED
