Tender ID,Tender Title,TENDERING AUTHORITY,PROVINCE,Closing Date,Price Evaluation ratio,Quality Evaluation ratio,Other Evaluation ratio,Lot Number,Unique Lot ID,Generic name,Lot Title,Quantity,Source URL
2786-47-LE21,OPI 14595 FARMACOS SAN PEDRO DE LA PAZ,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Región del Biobío,10-12-2021 11:07:00,70.0,,30.0,1,85121902,Farmacias,"Adapaleno 0,1% gel tópico",15,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=My/YIhJFyhDO6ryCsB09Tg==
2786-47-LE21,OPI 14595 FARMACOS SAN PEDRO DE LA PAZ,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Región del Biobío,10-12-2021 11:07:00,70.0,,30.0,2,85121902,Farmacias,"Adapaleno 0,3% gel tópico",15,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=My/YIhJFyhDO6ryCsB09Tg==
2786-47-LE21,OPI 14595 FARMACOS SAN PEDRO DE LA PAZ,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Región del Biobío,10-12-2021 11:07:00,70.0,,30.0,3,85121902,Farmacias,Ciclopiroxolamina 1% crema,32,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=My/YIhJFyhDO6ryCsB09Tg==
2786-47-LE21,OPI 14595 FARMACOS SAN PEDRO DE LA PAZ,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Región del Biobío,10-12-2021 11:07:00,70.0,,30.0,4,85121902,Farmacias,"Clobetasol 0,05% crema y/o ungüento",166,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=My/YIhJFyhDO6ryCsB09Tg==
2786-47-LE21,OPI 14595 FARMACOS SAN PEDRO DE LA PAZ,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Región del Biobío,10-12-2021 11:07:00,70.0,,30.0,5,85121902,Farmacias,Crema liquida humectante con UREA 10% (400 ML-500 ML),81,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=My/YIhJFyhDO6ryCsB09Tg==
2786-47-LE21,OPI 14595 FARMACOS SAN PEDRO DE LA PAZ,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Región del Biobío,10-12-2021 11:07:00,70.0,,30.0,6,85121902,Farmacias,Doxiciclina 100 MG CM,1120,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=My/YIhJFyhDO6ryCsB09Tg==
2786-47-LE21,OPI 14595 FARMACOS SAN PEDRO DE LA PAZ,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Región del Biobío,10-12-2021 11:07:00,70.0,,30.0,7,85121902,Farmacias,Fluconazol 150 MG CM,1244,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=My/YIhJFyhDO6ryCsB09Tg==
2786-47-LE21,OPI 14595 FARMACOS SAN PEDRO DE LA PAZ,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Región del Biobío,10-12-2021 11:07:00,70.0,,30.0,8,85121902,Farmacias,Hidrocortisona 1% crema,47,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=My/YIhJFyhDO6ryCsB09Tg==
2786-47-LE21,OPI 14595 FARMACOS SAN PEDRO DE LA PAZ,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Región del Biobío,10-12-2021 11:07:00,70.0,,30.0,9,85121902,Farmacias,Hidrocortisona 1% loción,48,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=My/YIhJFyhDO6ryCsB09Tg==
2786-47-LE21,OPI 14595 FARMACOS SAN PEDRO DE LA PAZ,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Región del Biobío,10-12-2021 11:07:00,70.0,,30.0,10,85121902,Farmacias,Hidroxicina 10MG/5ML Jarabe,55,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=My/YIhJFyhDO6ryCsB09Tg==
