category,subcategory,generic_name,formulation,strength,ppb,local_code,brand_name,company_name,fill_size,pack_price,unit_price,page
,,DIPHENHYDRAMINE (CHLORHYDRATE DE),,,False,,,,50 mg/mL PPB Sol.,Inj.,,7
,,DIPHENHYDRAMINE (CHLORHYDRATE DE),,,False,,,,(chlorhydrate de)Sandoz 1,ml,,7
,,DIPHENHYDRAMINE (CHLORHYDRATE DE),,,False,02219336,,Diphenist,1,ml,,7
,,FLUNARIZINE (CHLORHYDRATE DE)   X,,5 mg Caps.,False,02246082,Flunarizine,AA,Pharma,60,60,7
,,FLUNARIZINE (CHLORHYDRATE DE)   X,,5 mg Caps.,False,02246082,Flunarizine,AA,"0,7203CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT",DU,,7
,,FORMATPRIX UNITAIRE,,,False,02246082,Flunarizine,AA,8:12.07 bêta ‑lactamines,diverses,,9
,,FORMATPRIX UNITAIRE,,,False,02246082,Flunarizine,AA,"8:12.28 antibactériens,",divers,,9
,,FORMATPRIX UNITAIRE,,,False,02246082,Flunarizine,AA,"8:16.92 antimycobactériens,",divers,,9
,,FORMATPRIX UNITAIRE,,,False,02246082,Flunarizine,AA,8:18.28 inhibiteurs de la,neuraminidase,,9
,,FORMATPRIX UNITAIRE,,,False,02246082,Flunarizine,AA,8:18.32 nucléosides et,nucléotides,,9
,,FORMATPRIX UNITAIRE,,,False,02246082,Flunarizine,AA,"8:18.92 antiviraux,",divers,,9
,,FORMATPRIX UNITAIRE,,,False,02246082,Flunarizine,AA,"8:30.92 antiprotozoaires,",divers,,9
,,FORMATPRIX UNITAIRE,,,False,02246082,Flunarizine,AA,8:36 anti ‑infectieux,urinaires,,9
,,MÉBENDAZOLE   X,,100 mg Co.,False,00556734,Vermox Janss. Inc,6,"19,27",3.2117,3.2117,11
,,PRAZIQUANTEL   X,,600 mg Co.,False,02230897,,Biltricide,Bayer,4,4,11
,,PYRANTEL (PAMOATE DE),,125 mg    Co.,True,02380617,Jamp-Pyrantel Pamoate,Jamp,10,7.18,7.18,11
,,PYRANTEL (PAMOATE DE),,125 mg    Co.,True,02535467,Riva-Pyrantel Pamoate,Riva,10,7.18,7.18,11
,,PYRANTEL (PAMOATE DE),,50 mg/mL Susp. Orale,False,02412470,Jamp-Pyrantel,Pamoate,Jamp-Pyrantel,Pamoate,,11
,,PYRANTEL (PAMOATE DE),,50 mg/mL Susp. Orale,False,02412470,Jamp-Pyrantel,Pamoate,SuspensionJamp 30 ml,23.10,0.7700,11
,,AMIKACINE (SULFATE D')   X,,,False,02412470,Jamp-Pyrantel,Pamoate,250 mg/mL (2 mL) PPB Sol.,Inj.,,11
,,AMIKACINE (SULFATE D')   X,,,False,02481073,Amikacin Sulfate,Injection,Marcan,1,1,11
,,AMIKACINE (SULFATE D')   X,,,False,02242971,Amikacine (Sulfate,d'),Sandoz,1,1,11
,,AMIKACINE (SULFATE D')   X,,,False,02525909,Sulfate,d'Amikacine,Sulfate,d'Amikacine,,11
,,AMIKACINE (SULFATE D')   X,,,False,02525909,Sulfate,d'Amikacine,InjectionHikma 10,849.00,84.9000,11
