Generic Name,Currency,Ex Factory Wholesale Price,Unit Price,Region,Product Group,Marketing Authority,Local Pack Description,Formulation,Fill Size,Strength,Strength Unit,LOCAL_PACK_CODE,Edition,Page
DIAZÉPAM,CAD,142.18,71.09,NORTH AMERICA,Diastat 1,mL (5 mg) Bausch H.,Gel Rectal 5 mg/mL,Gel,2,5,MG,02238162,unknown,238
DIAZÉPAM,CAD,142.18,71.09,NORTH AMERICA,Diastat 2,mL (10 mg) Bausch H.,Gel Rectal 5 mg/mL,Gel,2,5,MG,99113825,unknown,238
DIAZÉPAM,CAD,142.18,71.09,NORTH AMERICA,Diastat 3,mL (15 mg) Bausch H.,Gel Rectal 5 mg/mL,Gel,2,5,MG,99113826,unknown,238
LIDOCAÏNE (CHLORHYDRATE DE),CAD,13.5,0.27,NORTH AMERICA,Lidodan Visqueuse,Odan 50,Gel Top. (Oral) 2 %,Gel,ml,,,01968823,unknown,279
TESTOSTÉRONE,CAD,65.13,2.171,NORTH AMERICA,AndroGel BGP,Pharma,"Gel Top. 1% (2,5 g)",Gel,30,2.5,G,02245345,unknown,312
TESTOSTÉRONE,CAD,50.18,1.6727,NORTH AMERICA,Taro-Testosterone Gel,Taro,"Gel Top. 1% (2,5 g)",Gel,30,2.5,G,02463792,unknown,312
TESTOSTÉRONE,CAD,115.17,3.839,NORTH AMERICA,AndroGel BGP,Pharma,"Gel Top. 1 % (5,0 g)",Gel,30,5.0,G,02245346,unknown,312
TESTOSTÉRONE,CAD,88.73,2.9577,NORTH AMERICA,Taro-Testosterone Gel,Taro,"Gel Top. 1 % (5,0 g)",Gel,30,5.0,G,02463806,unknown,312
TESTOSTÉRONE,CAD,88.73,2.9577,NORTH AMERICA,Testim 1%,Paladin,"Gel Top. 1 % (5,0 g)",Gel,30,5.0,G,02280248,unknown,312
MÉTRONIDAZOLE,CAD,33.0,0.6,NORTH AMERICA,Metrogel Galderma,55,Gel Top. 1 %,Gel,g,,,02297809,unknown,335
DÉSOXIMÉTASONE,CAD,26.82,0.447,NORTH AMERICA,Topicort Bausch,H. 60,"Gel Top. 0,05 %",Gel,g,,,02221926,unknown,341
DÉSOXIMÉTASONE,CAD,34.59,0.5765,NORTH AMERICA,Topicort Bausch,H. 60,"Gel Top. 0,05 %",Gel,g,,,02221934,unknown,341
FORMAT,CAD,18.45,0.3075,NORTH AMERICA,Lyderm Taro,60,"Gel Top. 0,05 %",Gel,g,,,02236997,unknown,342
FORMAT,CAD,18.21,0.3035,NORTH AMERICA,Lidex Onguent,Bausch H. 60,"Gel Top. 0,05 %",Gel,g,,,02161966,unknown,342
FORMAT,CAD,18.21,0.3035,NORTH AMERICA,Lyderm Taro,60,"Gel Top. 0,05 %",Gel,g,,,02236996,unknown,342
FLUOROURACILE,CAD,6.64,0.2213,NORTH AMERICA,DuoDERM Gel,Convatec 30,Gel Top.,Gel,g,,,00921084,unknown,345
HYDROGEL,CAD,2.95,0.1967,NORTH AMERICA,Cutimed Gel,BSN Med 15,Gel Top.,Gel,g,,,99100795,unknown,346
HYDROGEL,CAD,3.8,0.2533,NORTH AMERICA,Nu-Gel 3M,15,Gel Top.,Gel,g,,,99100365,unknown,346
HYDROGEL,CAD,2.25,0.2813,NORTH AMERICA,Purilon Gel,Coloplast 8,Gel Top.,Gel,g,,,99100152,unknown,346
HYDROGEL,CAD,3.7,0.1321,NORTH AMERICA,Woun'dres Coloplast,28,Gel Top.,Gel,g,,,99100300,unknown,346
PROPYLÈNE GLYCOL/ CARBOXYMÉTHYLCELLULOSE,CAD,2.73,0.3413,NORTH AMERICA,Intrasite S.,& N. 8,Gel Top. 20 % -3 %,Gel,g,,,00907936,unknown,346
AZÉLAÏQUE (ACIDE),CAD,30.0,0.6,NORTH AMERICA,Finacea Leo,50,Gel Top. 15 %,Gel,g,,,02270811,unknown,402
CALCIPOTRIOL/ BÉTAMÉTHASONE (DIPROPIONATE DE),CAD,105.14,1.3143,NORTH AMERICA,Dovobet Gel,Leo 80,"Gel Top. 50 mcg/g -0,5 mg/g",Gel,g,50,MCG,02319012,unknown,406
CALCIPOTRIOL/ BÉTAMÉTHASONE (DIPROPIONATE DE),CAD,71.59,1.1932,NORTH AMERICA,Taro-Calcipotriol/ Taro,60,"Gel Top. 50 mcg/g -0,5 mg/g",Gel,g,50,MCG,02525178,unknown,406
CALCIPOTRIOL/ BÉTAMÉTHASONE (DIPROPIONATE DE),CAD,151.6,1.2633,NORTH AMERICA,Dovobet Leo,120,"Gel Top. 50 mcg/g -0,5 mg/g",Gel,g,50,MCG,02244126,unknown,406
CALCIPOTRIOL/ BÉTAMÉTHASONE (DIPROPIONATE DE),CAD,64.43,1.0738,NORTH AMERICA,Teva-Betamethasone/ Teva,Can 60,"Gel Top. 50 mcg/g -0,5 mg/g",Gel,g,50,MCG,02427419,unknown,406
TRÉTINOÏNE,CAD,7.41,0.2964,NORTH AMERICA,Vitamin A,Acid Gel Doux Bausch H. 25,"Gel Top. 0,01 %",Gel,g,,,01926462,unknown,516
